Cust_id,Age,Gender,Employment Category,Income,Avg. Yearly Balance_k,Avg Yearly ATM Withdrawals,Avg. Foreign Card Payments,Avg. Digital Payments,Fixed Deposits
10157,21-30,Male,Student,Greater than 1 million,1783,30,31,64,1
10158,21-30,Male,Student,Greater than 1 million,4812,37,29,67,1
10159,18-20,Female,Student,"501,000 - 1 Million",1547,46,19,42,0
10160,18-20,Female,Student,Greater than 1 million,2089,31,25,48,1
10161,21-30,Male,Student,"50,000 - 100,000",105,82,1,5,0
10162,21-30,Male,Student,Greater than 1 million,3251,43,35,26,1
10163,21-30,Male,Self Employed,Greater than 1 million,3000,30,27,68,1
10165,31-35,Female,Unemployed,"501,000 - 1 Million",1321,31,21,38,1
10166,21-30,Female,Others,Greater than 1 million,4779,55,24,56,1
10167,21-30,Female,Others,Greater than 1 million,3650,40,22,43,1
10168,36-40,Female,Civil/Public Servant,Greater than 1 million,3709,37,33,51,1
10169,36-40,Female,Civil/Public Servant,"501,000 - 1 Million",927,42,18,46,1
10170,21-30,Female,Student,"50,000 - 100,000",119,7,2,4,0
10171,21-30,Female,Student,Greater than 1 million,3599,77,22,52,1
10172,21-30,Female,Student,"251,000 - 500,000",567,61,9,27,0
10173,21-30,Female,Student,Greater than 1 million,2529,48,30,59,1
10174,21-30,Female,Student,Greater than 1 million,3425,31,33,57,1
10175,21-30,Female,Student,Greater than 1 million,3288,43,26,59,1
10176,21-30,Female,Student,Greater than 1 million,3505,26,21,61,1
10177,21-30,Male,Student,Greater than 1 million,2333,20,35,55,1
10178,31-35,Male,Others,Greater than 1 million,4367,15,31,45,1
10182,21-30,Female,Self Employed,Greater than 1 million,3562,28,20,60,1
10183,21-30,Female,Self Employed,"251,000 - 500,000",682,71,9,25,1
10185,21-30,Female,Student,Greater than 1 million,1769,32,23,60,1
10186,21-30,Female,Student,Greater than 1 million,2690,74,25,57,1
10187,21-30,Male,Student,"501,000 - 1 Million",970,34,13,39,1
10188,21-30,Female,Student,Greater than 1 million,3477,42,23,52,1
10189,21-30,Female,Student,"101,000 - 250,000",228,68,7,13,0
10190,21-30,Female,Student,Greater than 1 million,2112,18,20,23,0
10191,21-30,Male,Student,"50,000 - 100,000",93,78,2,7,0
10192,21-30,Male,Student,Greater than 1 million,4563,34,27,46,1
10193,21-30,Male,Others,Greater than 1 million,3818,41,26,66,0
10194,21-30,Female,Self Employed,Greater than 1 million,2008,43,21,69,1
10195,21-30,Female,Self Employed,Greater than 1 million,1980,49,30,52,1
10196,21-30,Female,Student,Greater than 1 million,4555,42,27,70,1
10197,21-30,Female,Student,"251,000 - 500,000",626,54,7,31,1
10198,21-30,Female,Student,Greater than 1 million,4685,21,28,33,1
10199,21-30,Female,Student,"501,000 - 1 Million",1633,42,15,44,1
10202,21-30,Female,Student,Greater than 1 million,4414,42,34,49,1
10203,18-20,Male,Student,"501,000 - 1 Million",1562,42,15,47,0
10204,18-20,Female,Student,Greater than 1 million,2038,36,28,24,1
10205,21-30,Female,Student,Greater than 1 million,3187,31,25,39,1
10206,21-30,Male,Student,"50,000 - 100,000",142,70,1,3,1
10207,31-35,Male,Student,"501,000 - 1 Million",1694,49,18,44,0
10208,31-35,Male,Student,Greater than 1 million,2279,37,22,51,1
10209,21-30,Male,Student,"501,000 - 1 Million",939,49,21,50,1
10210,21-30,Male,Student,Greater than 1 million,2328,45,21,52,1
10211,21-30,Male,Student,Greater than 1 million,4163,93,33,64,0
10212,21-30,Male,Student,"501,000 - 1 Million",1367,27,23,42,1
10213,21-30,Male,Student,Greater than 1 million,2180,27,20,51,1
10214,21-30,Male,Student,Greater than 1 million,2759,25,21,50,1
10215,21-30,Female,Student,Greater than 1 million,3545,34,31,56,1
10216,21-30,Female,Student,Greater than 1 million,4732,21,30,11,1
10217,21-30,Female,Student,"501,000 - 1 Million",1356,73,20,42,1
10218,21-30,Female,Student,"251,000 - 500,000",528,55,9,30,1
10219,21-30,Female,Student,"101,000 - 250,000",236,75,6,15,0
10220,21-30,Male,Self Employed,Greater than 1 million,4623,21,35,63,1
10221,21-30,Male,Self Employed,"251,000 - 500,000",852,58,10,67,1
10222,21-30,Male,Self Employed,Greater than 1 million,3058,44,27,17,1
10223,21-30,Male,Self Employed,Greater than 1 million,4115,27,33,70,1
10225,21-30,Male,Student,Greater than 1 million,4785,22,35,59,1
10226,21-30,Male,Self Employed,Greater than 1 million,3959,96,26,63,0
10227,21-30,Male,Self Employed,"501,000 - 1 Million",1185,43,19,36,0
10228,21-30,Male,Self Employed,Greater than 1 million,4417,26,29,65,1
10229,21-30,Male,Self Employed,"101,000 - 250,000",310,40,4,12,1
10230,21-30,Male,Student,Greater than 1 million,4833,36,21,59,1
10231,21-30,Female,Student,Greater than 1 million,3704,20,33,69,0
10232,21-30,Female,Student,"50,000 - 100,000",115,85,2,6,0
10233,21-30,Male,Student,Greater than 1 million,4378,44,34,55,1
10234,21-30,Male,Student,"501,000 - 1 Million",1161,48,25,47,1
10235,21-30,Male,Student,"501,000 - 1 Million",1397,39,17,38,0
10236,21-30,Male,Student,Greater than 1 million,2504,30,31,60,1
10237,21-30,Male,Student,"101,000 - 250,000",344,73,6,17,1
10238,31-35,Male,Private Sector Employee,Greater than 1 million,2555,26,22,61,1
10239,31-35,Male,Private Sector Employee,Greater than 1 million,1786,12,22,48,1
10240,31-35,Male,Private Sector Employee,Greater than 1 million,4748,30,29,52,1
10241,21-30,Female,Student,"251,000 - 500,000",600,52,11,32,1
10242,21-30,Female,Student,Greater than 1 million,3535,50,22,64,1
10243,21-30,Male,Student,Greater than 1 million,3578,15,24,69,1
10244,18-20,Female,Student,"50,000 - 100,000",173,8,2,22,0
10245,18-20,Male,Student,"501,000 - 1 Million",928,52,23,42,1
10246,18-20,Male,Student,"501,000 - 1 Million",1562,51,20,48,1
10247,18-20,Female,Student,Greater than 1 million,3175,17,32,5,1
10248,21-30,Male,Student,Greater than 1 million,4175,40,20,55,1
10249,31-35,Male,Private Sector Employee,Greater than 1 million,4448,29,29,7,1
10250,18-20,Female,Student,"501,000 - 1 Million",1264,42,22,35,0
10251,18-20,Male,Student,Greater than 1 million,4866,12,28,66,1
10252,18-20,Female,Student,Greater than 1 million,2985,27,34,58,0
10253,18-20,Female,Student,Greater than 1 million,3204,26,28,59,0
10254,18-20,Female,Student,"251,000 - 500,000",855,53,15,66,1
10255,18-20,Female,Student,Greater than 1 million,3486,25,33,36,0
10257,18-20,Female,Student,Greater than 1 million,1937,31,35,60,1
10259,21-30,Female,Student,Greater than 1 million,3689,18,33,17,1
10260,41-60,Male,Self Employed,Greater than 1 million,4988,37,27,61,1
10261,41-60,Male,Self Employed,Greater than 1 million,3539,21,22,26,1
10262,41-60,Male,Self Employed,Greater than 1 million,4769,39,27,22,1
10263,41-60,Male,Self Employed,"501,000 - 1 Million",974,9,22,43,1
10264,21-30,Female,Student,Greater than 1 million,2908,34,25,61,1
10265,21-30,Female,Student,"501,000 - 1 Million",1637,46,24,30,0
10268,21-30,Male,Student,Greater than 1 million,2146,84,29,67,1
10269,21-30,Male,Student,Greater than 1 million,3331,27,29,22,1
10270,21-30,Male,Student,"251,000 - 500,000",514,59,11,21,1
10271,21-30,Female,Student,Greater than 1 million,4653,24,34,48,1
10272,18-20,Male,Student,Greater than 1 million,3942,34,31,50,1
10273,21-30,Female,Civil/Public Servant,"501,000 - 1 Million",1000,49,23,45,1
10274,21-30,Female,Civil/Public Servant,Greater than 1 million,3627,33,32,69,1
10275,21-30,Female,Civil/Public Servant,"501,000 - 1 Million",1402,11,18,43,1
10276,21-30,Female,Civil/Public Servant,Greater than 1 million,4077,30,26,52,1
10277,21-30,Female,Student,"251,000 - 500,000",578,62,14,63,0
10278,21-30,Female,Student,Greater than 1 million,2031,39,25,57,1
10279,21-30,Female,Student,Greater than 1 million,4060,21,20,33,1
10280,21-30,Female,Student,Greater than 1 million,4078,30,29,1,1
10281,18-20,Female,Student,Greater than 1 million,4403,34,23,23,0
10282,36-40,Female,Self Employed,"501,000 - 1 Million",1372,40,17,45,0
10283,21-30,Male,Private Sector Employee,Greater than 1 million,3849,99,35,66,0
10284,21-30,Female,Student,Greater than 1 million,3389,62,28,55,1
10285,21-30,Female,Student,Greater than 1 million,2442,23,32,57,1
10286,21-30,Male,Student,Greater than 1 million,3786,32,21,54,1
10287,21-30,Male,Student,Greater than 1 million,3484,37,25,58,0
10288,21-30,Male,Student,Greater than 1 million,2619,61,32,60,0
10289,21-30,Male,Student,Greater than 1 million,3860,42,26,62,1
10290,21-30,Male,Student,Greater than 1 million,3494,21,31,62,1
10291,21-30,Male,Student,"Below 50,000",76,87,0,49,0
10292,21-30,Male,Student,"501,000 - 1 Million",1702,40,19,40,1
10293,21-30,Male,Student,Greater than 1 million,3413,36,20,18,1
10294,21-30,Male,Student,"501,000 - 1 Million",1256,52,23,38,1
10295,21-30,Male,Student,"501,000 - 1 Million",1442,53,17,12,1
10296,21-30,Male,Student,Greater than 1 million,2866,45,23,51,1
10297,21-30,Male,Student,"501,000 - 1 Million",1602,55,23,38,0
10298,21-30,Male,Student,Greater than 1 million,2568,0,35,64,1
10299,21-30,Female,Student,"251,000 - 500,000",724,51,11,20,1
10300,21-30,Female,Student,"251,000 - 500,000",833,53,6,18,1
10301,21-30,Female,Self Employed,Greater than 1 million,2561,32,23,50,1
10302,21-30,Female,Self Employed,Greater than 1 million,2510,9,27,48,1
10303,21-30,Male,Student,Greater than 1 million,2765,40,24,48,1
10304,21-30,Male,Student,Greater than 1 million,4246,34,27,4,1
10305,21-30,Male,Student,"Below 50,000",32,85,0,1,1
10306,21-30,Male,Student,Greater than 1 million,4964,31,33,54,1
10307,21-30,Male,Student,Greater than 1 million,4247,21,32,60,1
10308,21-30,Female,Student,Greater than 1 million,2419,56,30,69,1
10309,18-20,Female,Student,"501,000 - 1 Million",1651,53,12,68,1
10310,36-40,Female,Private Sector Employee,Greater than 1 million,2856,21,33,69,1
10311,21-30,Female,Private Sector Employee,"251,000 - 500,000",387,54,9,20,1
10312,21-30,Female,Student,"50,000 - 100,000",195,70,1,3,0
10313,21-30,Female,Student,Greater than 1 million,2073,21,33,66,1
10314,21-30,Female,Student,Greater than 1 million,4416,29,29,52,1
10315,36-40,Male,Civil/Public Servant,"251,000 - 500,000",780,64,13,32,0
10316,36-40,Male,Civil/Public Servant,Greater than 1 million,4229,72,21,69,1
10317,36-40,Male,Civil/Public Servant,Greater than 1 million,2501,34,29,26,1
10318,36-40,Male,Civil/Public Servant,"501,000 - 1 Million",878,52,22,50,1
10319,21-30,Male,Student,Greater than 1 million,1958,45,35,5,1
10320,21-30,Male,Student,Greater than 1 million,1750,38,29,31,1
10321,21-30,Male,Student,Greater than 1 million,2379,25,27,69,1
10322,21-30,Male,Student,Greater than 1 million,2186,91,30,58,1
10323,21-30,Male,Student,"501,000 - 1 Million",1258,42,22,45,1
10324,21-30,Male,Student,Greater than 1 million,3200,21,32,53,0
10325,21-30,Male,Student,Greater than 1 million,2966,44,25,48,0
10326,21-30,Female,Civil/Public Servant,Greater than 1 million,1724,41,25,69,0
10327,21-30,Female,Civil/Public Servant,"101,000 - 250,000",229,74,3,17,0
10328,21-30,Female,Civil/Public Servant,Greater than 1 million,2093,26,30,28,1
10329,21-30,Male,Student,"101,000 - 250,000",257,73,4,12,1
10330,21-30,Male,Student,Greater than 1 million,2847,6,35,59,0
10333,18-20,Female,Student,Greater than 1 million,3628,38,23,31,1
10334,21-30,Female,Student,"251,000 - 500,000",608,61,14,35,1
10335,18-20,Female,Student,Greater than 1 million,2867,39,26,54,1
10336,21-30,Female,Student,Greater than 1 million,2857,26,22,66,1
10337,21-30,Female,Student,Greater than 1 million,2124,72,30,70,1
10338,21-30,Female,Student,"251,000 - 500,000",600,44,5,28,1
10339,21-30,Male,Student,Greater than 1 million,2951,30,34,52,1
10340,21-30,Female,Student,Greater than 1 million,2838,20,30,62,1
10341,21-30,Female,Student,Greater than 1 million,3070,46,32,60,1
10342,21-30,Male,Student,"251,000 - 500,000",779,65,14,27,1
10343,21-30,Male,Student,Greater than 1 million,4134,94,23,50,1
10344,21-30,Male,Student,"251,000 - 500,000",741,30,10,5,1
10345,21-30,Female,Student,Greater than 1 million,3343,65,31,64,1
10346,21-30,Male,Student,"251,000 - 500,000",785,54,12,28,1
10347,21-30,Male,Student,Greater than 1 million,4885,36,31,47,1
10349,18-20,Female,Student,"501,000 - 1 Million",1289,75,20,37,1
10350,18-20,Female,Student,Greater than 1 million,2647,81,21,66,1
10351,21-30,Female,Student,Greater than 1 million,3234,94,21,62,1
10352,21-30,Female,Student,"501,000 - 1 Million",1589,41,24,50,1
10353,21-30,Female,Student,"501,000 - 1 Million",1257,54,22,32,0
10354,21-30,Female,Student,Greater than 1 million,4891,47,28,68,1
10355,18-20,Female,Student,Greater than 1 million,4315,39,23,16,1
10356,18-20,Female,Student,"501,000 - 1 Million",1471,40,21,0,1
10357,18-20,Female,Student,Greater than 1 million,3824,36,34,51,1
10358,18-20,Female,Student,"251,000 - 500,000",387,64,14,7,0
10359,21-30,Male,Student,"251,000 - 500,000",500,60,13,36,1
10361,31-35,Male,Private Sector Employee,"251,000 - 500,000",561,90,9,34,0
10362,31-35,Male,Private Sector Employee,Greater than 1 million,4116,24,35,60,1
10363,31-35,Male,Private Sector Employee,Greater than 1 million,4203,35,26,67,1
10364,21-30,Female,Student,Greater than 1 million,4469,38,34,61,1
10365,21-30,Male,Self Employed,Greater than 1 million,2579,20,27,59,1
10366,21-30,Male,Self Employed,Greater than 1 million,1772,37,25,18,1
10367,21-30,Male,Self Employed,Greater than 1 million,4164,39,32,60,1
10368,21-30,Male,Self Employed,"101,000 - 250,000",263,20,6,18,0
10369,41-60,Male,Private Sector Employee,Greater than 1 million,4838,41,32,11,1
10370,41-60,Male,Private Sector Employee,Greater than 1 million,3954,87,23,61,0
10371,41-60,Male,Private Sector Employee,"251,000 - 500,000",517,46,15,22,1
10372,41-60,Male,Private Sector Employee,Greater than 1 million,2518,89,25,13,1
10373,21-30,Male,Student,Greater than 1 million,2515,45,32,45,1
10374,21-30,Female,Student,Greater than 1 million,3805,20,32,11,1
10375,21-30,Male,Student,Greater than 1 million,3670,33,32,54,1
10378,21-30,Male,Student,Greater than 1 million,1810,27,34,48,1
10379,21-30,Male,Student,"501,000 - 1 Million",1197,76,23,46,1
10380,21-30,Male,Student,Greater than 1 million,1949,40,21,66,1
10381,21-30,Male,Student,Greater than 1 million,3556,25,26,61,1
10382,21-30,Female,Private Sector Employee,"501,000 - 1 Million",1654,66,19,20,0
10383,21-30,Female,Student,"501,000 - 1 Million",1378,55,13,35,0
10384,21-30,Female,Student,"50,000 - 100,000",186,71,2,4,1
10385,31-35,Male,Private Sector Employee,Greater than 1 million,2892,20,21,0,1
10386,31-35,Male,Private Sector Employee,Greater than 1 million,3406,91,23,49,1
10387,31-35,Male,Private Sector Employee,Greater than 1 million,1790,45,31,64,0
10388,21-30,Female,Unemployed,Greater than 1 million,4540,42,25,56,1
10389,21-30,Female,Unemployed,Greater than 1 million,3448,63,29,64,1
10392,21-30,Male,Private Sector Employee,Greater than 1 million,3703,33,32,61,1
10393,31-35,Male,Civil/Public Servant,Greater than 1 million,2302,28,33,69,1
10394,31-35,Male,Civil/Public Servant,Greater than 1 million,2296,45,20,65,0
10395,21-30,Male,Unemployed,Greater than 1 million,3995,27,21,7,1
10396,31-35,Male,Private Sector Employee,Greater than 1 million,2488,24,34,45,1
10397,31-35,Male,Private Sector Employee,"251,000 - 500,000",534,52,13,18,0
10399,21-30,Male,Self Employed,Greater than 1 million,2630,20,26,55,1
10400,21-30,Male,Others,Greater than 1 million,3890,23,26,0,1
10408,18-20,Female,Student,Greater than 1 million,4487,39,25,60,1
10409,18-20,Female,Student,Greater than 1 million,2125,35,23,61,0
10410,21-30,Male,Student,"251,000 - 500,000",492,50,7,18,1
10411,31-35,Female,Private Sector Employee,Greater than 1 million,3243,40,22,58,1
10412,31-35,Female,Self Employed,"50,000 - 100,000",101,75,1,5,0
10413,31-35,Female,Self Employed,Greater than 1 million,1809,29,29,50,1
10414,31-35,Female,Self Employed,Greater than 1 million,4479,22,25,63,1
10415,31-35,Male,Student,"501,000 - 1 Million",890,51,16,35,1
10416,31-35,Male,Student,Greater than 1 million,2017,41,20,64,1
10417,21-30,Male,Student,Greater than 1 million,3656,42,35,55,1
10418,31-35,Female,Civil/Public Servant,"Below 50,000",31,94,0,2,0
10419,31-35,Female,Civil/Public Servant,"50,000 - 100,000",175,72,1,3,0
10420,31-35,Female,Civil/Public Servant,"101,000 - 250,000",302,15,4,18,0
10421,31-35,Female,Civil/Public Servant,"251,000 - 500,000",816,65,5,34,1
10422,36-40,Female,Private Sector Employee,"50,000 - 100,000",204,1,1,5,0
10423,36-40,Female,Private Sector Employee,Greater than 1 million,3827,24,27,62,1
10424,36-40,Female,Private Sector Employee,Greater than 1 million,3160,48,20,51,1
10428,36-40,Male,Private Sector Employee,Greater than 1 million,1771,36,21,45,1
10429,36-40,Male,Private Sector Employee,Greater than 1 million,3664,41,24,62,1
10430,21-30,Male,Student,"251,000 - 500,000",592,62,11,62,1
10433,21-30,Male,Student,"501,000 - 1 Million",1217,52,23,21,1
10434,21-30,Male,Student,Greater than 1 million,4609,29,28,3,1
10435,41-60,Male,Civil/Public Servant,"50,000 - 100,000",91,68,2,3,1
10436,41-60,Male,Civil/Public Servant,Greater than 1 million,4278,5,29,58,1
10437,21-30,Male,Student,Greater than 1 million,4289,30,26,47,0
10438,21-30,Male,Student,Greater than 1 million,3364,18,29,56,1
10439,21-30,Male,Student,Greater than 1 million,2823,45,26,56,1
10440,36-40,Female,Private Sector Employee,Greater than 1 million,1785,52,25,49,1
10441,41-60,Male,Civil/Public Servant,"251,000 - 500,000",641,65,9,25,1
10442,31-35,Female,Private Sector Employee,"501,000 - 1 Million",887,55,23,41,1
10443,21-30,Female,Unemployed,"251,000 - 500,000",842,83,9,5,1
10444,36-40,Female,Self Employed,Greater than 1 million,4441,31,28,46,1
10445,18-20,Male,Student,Greater than 1 million,3843,35,21,60,1
10446,18-20,Male,Student,"101,000 - 250,000",370,87,2,6,0
10447,18-20,Male,Student,Greater than 1 million,2689,43,30,46,1
10448,21-30,Male,Self Employed,Greater than 1 million,4651,43,35,54,1
10449,21-30,Female,Self Employed,"501,000 - 1 Million",1591,40,15,32,1
10450,21-30,Female,Self Employed,Greater than 1 million,2190,44,31,70,1
10451,21-30,Male,Self Employed,"101,000 - 250,000",261,62,5,20,0
10452,36-40,Male,Self Employed,Greater than 1 million,4658,42,34,48,1
10453,36-40,Male,Self Employed,Greater than 1 million,3261,41,24,57,1
10454,31-35,Female,Self Employed,Greater than 1 million,1747,35,20,29,1
10455,31-35,Female,Self Employed,Greater than 1 million,3589,31,33,49,1
10456,36-40,Female,Private Sector Employee,Greater than 1 million,4435,0,23,56,1
10457,41-60,Female,Private Sector Employee,"251,000 - 500,000",444,50,8,42,0
10458,41-60,Female,Private Sector Employee,Greater than 1 million,4153,43,30,70,1
10459,21-30,Female,Private Sector Employee,Greater than 1 million,2156,23,24,50,1
10460,41-60,Male,Others,"251,000 - 500,000",783,53,14,21,0
10461,41-60,Male,Others,Greater than 1 million,2149,20,23,52,1
10462,41-60,Male,Self Employed,Greater than 1 million,2212,42,32,63,1
10463,41-60,Male,Self Employed,"501,000 - 1 Million",1013,45,18,44,1
10464,31-35,Female,Civil/Public Servant,"501,000 - 1 Million",1458,53,22,50,1
10465,41-60,Male,Self Employed,Greater than 1 million,4157,25,24,64,1
10466,41-60,Male,Self Employed,"251,000 - 500,000",804,99,7,35,0
10467,21-30,Female,Student,Greater than 1 million,3547,14,23,70,1
10468,36-40,Male,Civil/Public Servant,Greater than 1 million,4570,16,34,14,1
10469,36-40,Male,Self Employed,Greater than 1 million,4059,26,34,16,1
10470,36-40,Male,Self Employed,"501,000 - 1 Million",1286,41,13,43,1
10471,36-40,Male,Self Employed,"251,000 - 500,000",466,59,8,18,1
10472,36-40,Male,Self Employed,"Below 50,000",16,4,0,8,1
10473,31-35,Male,Self Employed,Greater than 1 million,4193,83,23,69,1
10474,31-35,Male,Self Employed,Greater than 1 million,3291,34,29,48,1
10475,36-40,Female,Civil/Public Servant,Greater than 1 million,3792,21,23,49,1
10476,36-40,Female,Civil/Public Servant,"50,000 - 100,000",192,73,2,45,0
10477,36-40,Female,Civil/Public Servant,Greater than 1 million,4664,42,24,45,1
10478,36-40,Male,Self Employed,"501,000 - 1 Million",1640,44,18,45,1
10479,36-40,Male,Self Employed,Greater than 1 million,2419,39,35,30,1
10480,36-40,Male,Self Employed,Greater than 1 million,4641,85,27,49,1
10481,21-30,Male,Private Sector Employee,Greater than 1 million,2938,24,29,49,1
10482,21-30,Male,Private Sector Employee,Greater than 1 million,2386,27,24,64,1
10483,21-30,Male,Private Sector Employee,Greater than 1 million,4501,12,28,56,0
10484,21-30,Female,Civil/Public Servant,"251,000 - 500,000",438,64,12,32,0
10485,21-30,Female,Civil/Public Servant,Greater than 1 million,4235,22,31,59,1
10486,41-60,Female,Self Employed,Greater than 1 million,2961,45,32,69,1
10487,21-30,Male,Unemployed,Greater than 1 million,3682,36,33,2,1
10488,21-30,Male,Unemployed,"501,000 - 1 Million",1161,48,20,37,0
10489,21-30,Male,Unemployed,Greater than 1 million,3025,35,25,70,1
10490,21-30,Male,Student,"501,000 - 1 Million",1650,52,15,35,1
10491,41-60,Male,Self Employed,"501,000 - 1 Million",1306,40,18,41,1
10492,41-60,Male,Self Employed,"251,000 - 500,000",455,75,6,22,0
10493,21-30,Male,Private Sector Employee,"251,000 - 500,000",684,57,6,35,1
10494,21-30,Male,Private Sector Employee,Greater than 1 million,4604,10,22,65,1
10495,21-30,Male,Private Sector Employee,Greater than 1 million,2393,33,27,55,1
10496,21-30,Female,Self Employed,Greater than 1 million,4050,98,30,52,1
10497,31-35,Female,Private Sector Employee,Greater than 1 million,1954,43,32,61,1
10498,21-30,Male,Civil/Public Servant,Greater than 1 million,2698,44,22,11,1
10499,21-30,Female,Self Employed,Greater than 1 million,3114,23,20,4,1
10500,41-60,Male,Civil/Public Servant,Greater than 1 million,1968,24,24,47,1
10501,36-40,Female,Student,Greater than 1 million,3434,78,34,58,1
10502,36-40,Female,Student,Greater than 1 million,3865,30,31,42,1
10503,36-40,Female,Student,Greater than 1 million,3684,76,20,60,0
10504,21-30,Female,Student,"501,000 - 1 Million",1413,41,21,38,1
10505,21-30,Female,Student,Greater than 1 million,1851,39,31,22,0
10506,36-40,Female,Private Sector Employee,Greater than 1 million,2451,37,33,2,1
10507,21-30,Male,Self Employed,Greater than 1 million,4643,42,33,60,1
10508,36-40,Female,Private Sector Employee,Greater than 1 million,3628,41,28,60,1
10509,Above 60,Male,Self Employed,"501,000 - 1 Million",1579,47,18,51,1
10510,31-35,Female,Self Employed,Greater than 1 million,4374,35,26,49,1
10511,41-60,Male,Self Employed,Greater than 1 million,2089,25,27,47,1
10512,41-60,Male,Self Employed,"501,000 - 1 Million",1248,50,13,44,1
10513,41-60,Female,Self Employed,Greater than 1 million,2984,40,26,68,0
10514,21-30,Female,Self Employed,Greater than 1 million,2319,37,33,68,0
