OrderID,CustomerID,OrderVolume,ShipMode,Segment,Category,PaymentTerm,Discount,ExistingPurchaseOrder,FirstCustomerOrder,CashInDate
O-113,1006,9.28,Standard Class,Consumer,Office Supplies,14,5,Yes,No,27-01-2011
O-124,1015,9.62,Standard Class,Consumer,Office Supplies,14,5,Yes,No,28-01-2011
O-148,1008,9.24,Standard Class,Consumer,Technology,14,3,Yes,No,29-01-2011
O-138,1010,9.66,Standard Class,Consumer,Office Supplies,14,5,Yes,Yes,30-01-2011
O-133,1031,9.89,Standard Class,Consumer,Office Supplies,14,5,Yes,Yes,31-01-2011
O-114,1006,10.08,Standard Class,Consumer,Office Supplies,30,5,Yes,No,01-02-2011
O-137,1000,10.04,Standard Class,Consumer,Office Supplies,14,5,Yes,No,02-02-2011
O-215,1031,9.87,Standard Class,Consumer,Office Supplies,14,5,No,No,03-02-2011
O-176,1008,10.19,Standard Class,Consumer,Technology,30,5,Yes,No,04-02-2011
O-149,1008,10.25,Standard Class,Consumer,Furniture,30,5,No,No,05-02-2011
O-102,1006,10.21,Second Class,Consumer,Office Supplies,30,3,Yes,Yes,06-02-2011
O-134,1008,10.14,Standard Class,Consumer,Office Supplies,14,0,Yes,No,07-02-2011
O-125,1014,9.78,Second Class,Corporate,Office Supplies,30,5,Yes,No,08-02-2011
O-106,1014,9.87,Standard Class,Corporate,Furniture,14,0,Yes,Yes,09-02-2011
O-105,1009,9.94,Standard Class,Consumer,Technology,45,3,Yes,Yes,10-02-2011
O-132,1019,9.67,First Class,Corporate,Office Supplies,14,3,Yes,Yes,11-02-2011
O-143,1011,9.35,Standard Class,Corporate,Office Supplies,14,5,Yes,Yes,12-02-2011
O-147,1025,9.47,Standard Class,Corporate,Technology,30,3,Yes,No,13-02-2011
O-212,1029,9.38,Standard Class,Corporate,Office Supplies,14,3,Yes,No,14-02-2011
O-119,1006,9.13,Standard Class,Consumer,Office Supplies,45,5,Yes,No,15-02-2011
O-107,1015,9.03,Second Class,Consumer,Office Supplies,30,3,Yes,Yes,16-02-2011
O-104,1023,9.38,Standard Class,Consumer,Office Supplies,30,5,No,Yes,17-02-2011
O-100,1024,9.62,Same Day,Corporate,Office Supplies,30,5,Yes,Yes,18-02-2011
O-112,1010,9.46,Standard Class,Consumer,Technology,45,5,Yes,Yes,19-02-2011
O-126,1030,9.19,First Class,Corporate,Furniture,45,0,Yes,No,20-02-2011
O-160,1000,9.24,First Class,Consumer,Office Supplies,30,3,Yes,No,21-02-2011
O-116,1010,9.14,Same Day,Consumer,Office Supplies,30,5,Yes,No,22-02-2011
O-202,1010,8.83,First Class,Consumer,Office Supplies,30,0,Yes,No,23-02-2011
O-199,1022,8.81,Second Class,Corporate,Furniture,30,5,Yes,No,24-02-2011
O-296,1007,8.59,Second Class,Corporate,Office Supplies,14,3,Yes,No,25-02-2011
O-219,1015,8.57,Standard Class,Consumer,Technology,45,3,Yes,No,26-02-2011
O-231,1008,8.5,Standard Class,Consumer,Furniture,45,5,No,No,27-02-2011
O-154,1005,8.39,Standard Class,Corporate,Office Supplies,30,3,Yes,Yes,28-02-2011
O-259,1005,8.9,Standard Class,Corporate,Office Supplies,45,5,Yes,No,01-03-2011
O-127,1000,8.96,Standard Class,Consumer,Office Supplies,45,3,Yes,Yes,02-03-2011
O-317,1012,8.96,Standard Class,Corporate,Office Supplies,14,0,Yes,No,03-03-2011
O-117,1014,8.95,Standard Class,Corporate,Office Supplies,45,5,Yes,No,04-03-2011
O-170,1028,8.74,First Class,Consumer,Office Supplies,45,3,No,No,05-03-2011
O-227,1010,9.6,First Class,Consumer,Office Supplies,45,0,Yes,No,06-03-2011
O-222,1021,10.18,Standard Class,Corporate,Office Supplies,30,5,No,No,07-03-2011
O-188,1021,9.97,Standard Class,Corporate,Office Supplies,30,0,Yes,Yes,08-03-2011
O-168,1018,9.81,Same Day,Corporate,Office Supplies,45,0,Yes,No,09-03-2011
O-221,1015,9.71,Standard Class,Consumer,Office Supplies,45,3,No,No,10-03-2011
O-157,1018,9.53,Same Day,Corporate,Office Supplies,45,0,Yes,No,11-03-2011
O-436,1015,9.5,Standard Class,Consumer,Technology,45,3,Yes,No,12-03-2011
O-256,1022,9.26,Standard Class,Corporate,Office Supplies,30,0,Yes,No,13-03-2011
O-242,1011,9.46,Second Class,Corporate,Office Supplies,45,3,Yes,No,14-03-2011
O-331,1024,9.38,Standard Class,Corporate,Office Supplies,30,0,Yes,No,15-03-2011
O-297,1007,9.66,Second Class,Corporate,Office Supplies,30,0,Yes,No,16-03-2011
O-255,1022,9.58,Standard Class,Corporate,Office Supplies,30,3,Yes,No,17-03-2011
O-372,1007,9.39,Standard Class,Corporate,Office Supplies,45,5,Yes,No,18-03-2011
O-181,1012,9.45,Standard Class,Corporate,Office Supplies,45,3,Yes,No,19-03-2011
O-407,1010,9.74,Standard Class,Consumer,Office Supplies,45,3,Yes,No,20-03-2011
O-360,1022,9.91,First Class,Corporate,Office Supplies,30,0,Yes,No,21-03-2011
O-325,1022,10.06,Standard Class,Corporate,Office Supplies,45,3,Yes,No,22-03-2011
O-314,1022,9.94,Same Day,Corporate,Office Supplies,45,5,Yes,No,23-03-2011
O-570,1025,10.23,Standard Class,Corporate,Office Supplies,14,5,Yes,No,24-03-2011
O-309,1003,10.16,First Class,Corporate,Office Supplies,45,3,No,No,25-03-2011
O-450,1026,10.16,Standard Class,Corporate,Office Supplies,45,5,Yes,No,26-03-2011
O-537,1003,10.27,First Class,Corporate,Technology,45,5,No,No,27-03-2011
O-687,1024,10.27,Standard Class,Corporate,Office Supplies,14,0,Yes,No,28-03-2011
O-495,1005,10.15,Standard Class,Corporate,Office Supplies,45,0,Yes,No,29-03-2011
O-610,1010,10.09,Second Class,Consumer,Office Supplies,45,0,Yes,No,30-03-2011
O-595,1005,9.74,Standard Class,Corporate,Office Supplies,45,5,Yes,No,31-03-2011
O-544,1007,9.67,First Class,Corporate,Technology,45,0,No,No,01-04-2011
O-508,1013,9.68,First Class,Consumer,Office Supplies,45,0,Yes,No,02-04-2011
O-606,1011,9.28,First Class,Corporate,Furniture,45,5,No,No,03-04-2011
O-689,1021,9.32,First Class,Corporate,Office Supplies,45,5,Yes,No,04-04-2011
O-560,1012,9.03,Standard Class,Corporate,Office Supplies,30,3,Yes,No,05-04-2011
O-819,1008,9.22,Standard Class,Consumer,Office Supplies,45,5,Yes,No,06-04-2011
O-638,1024,9.05,Standard Class,Corporate,Furniture,45,5,Yes,No,07-04-2011
O-686,1022,9.02,Standard Class,Corporate,Furniture,30,0,Yes,No,08-04-2011
O-721,1025,9.05,Standard Class,Corporate,Office Supplies,30,5,Yes,No,09-04-2011
O-732,1024,9.19,Standard Class,Corporate,Office Supplies,30,0,Yes,No,10-04-2011
O-719,1005,9.08,Standard Class,Corporate,Office Supplies,45,5,Yes,No,11-04-2011
O-649,1018,8.75,Standard Class,Corporate,Office Supplies,45,5,No,No,12-04-2011
O-969,1025,8.54,Standard Class,Corporate,Office Supplies,14,3,Yes,No,13-04-2011
O-646,1025,8.88,Standard Class,Corporate,Office Supplies,45,0,Yes,No,14-04-2011
O-758,1003,8.81,Standard Class,Corporate,Office Supplies,45,0,Yes,No,15-04-2011
O-784,1025,8.57,Standard Class,Corporate,Office Supplies,30,5,Yes,No,16-04-2011
O-881,1029,8.53,Second Class,Corporate,Technology,45,0,Yes,No,17-04-2011
O-873,1007,8.37,Standard Class,Corporate,Technology,45,5,Yes,No,18-04-2011
O-811,1024,8.68,First Class,Corporate,Office Supplies,45,5,Yes,No,19-04-2011
O-599,1026,8.46,Same Day,Corporate,Office Supplies,45,5,No,No,20-04-2011
O-857,1022,8.14,Second Class,Corporate,Office Supplies,30,5,Yes,No,21-04-2011
O-742,1012,8.33,Standard Class,Corporate,Office Supplies,45,3,Yes,No,22-04-2011
O-778,1024,8.23,Second Class,Corporate,Office Supplies,45,0,Yes,No,23-04-2011
O-867,1015,8.48,First Class,Consumer,Office Supplies,30,0,No,No,24-04-2011
O-886,1018,8.22,Same Day,Corporate,Office Supplies,45,5,Yes,No,25-04-2011
O-983,1024,8.17,Standard Class,Corporate,Office Supplies,45,3,Yes,No,26-04-2011
O-896,1010,8.21,Second Class,Consumer,Office Supplies,30,0,No,No,27-04-2011
O-1095,1015,8.27,Standard Class,Consumer,Technology,45,5,No,No,28-04-2011
O-859,1022,8.51,Second Class,Corporate,Office Supplies,45,3,No,No,29-04-2011
O-1067,1013,8.4,Standard Class,Consumer,Furniture,45,3,Yes,No,30-04-2011
O-1016,1013,8.43,Second Class,Consumer,Office Supplies,45,5,Yes,No,01-05-2011
O-931,1025,8.2,Second Class,Corporate,Furniture,45,3,No,No,02-05-2011
O-1032,1010,8,Standard Class,Consumer,Office Supplies,45,0,Yes,No,03-05-2011
O-1077,1005,8.42,Second Class,Corporate,Technology,45,5,No,No,04-05-2011
O-1092,1021,8.18,Standard Class,Corporate,Office Supplies,30,0,Yes,No,05-05-2011
O-1230,1019,8.28,Standard Class,Corporate,Office Supplies,45,5,Yes,No,06-05-2011
O-1072,1028,8.14,Standard Class,Consumer,Office Supplies,45,0,Yes,No,07-05-2011
O-967,1007,7.97,Standard Class,Corporate,Office Supplies,45,0,Yes,No,08-05-2011
O-1051,1011,7.91,Standard Class,Corporate,Office Supplies,45,0,Yes,No,09-05-2011
O-1097,1025,7.86,Standard Class,Corporate,Office Supplies,45,5,Yes,No,10-05-2011
O-1089,1021,7.95,Standard Class,Corporate,Office Supplies,45,5,Yes,No,11-05-2011
O-1163,1013,7.57,Standard Class,Consumer,Office Supplies,45,3,Yes,No,12-05-2011
O-1382,1010,7.46,Standard Class,Consumer,Furniture,30,0,Yes,No,13-05-2011
O-1114,1022,7.24,Standard Class,Corporate,Office Supplies,30,5,No,No,14-05-2011
O-1132,1008,7.48,First Class,Consumer,Office Supplies,45,0,No,No,15-05-2011
O-1256,1025,7.56,Second Class,Corporate,Office Supplies,30,0,Yes,No,16-05-2011
O-1055,1025,7.73,Same Day,Corporate,Office Supplies,45,3,No,No,17-05-2011
O-1167,1026,8.64,Second Class,Corporate,Office Supplies,45,3,Yes,No,18-05-2011
O-1404,1013,8.67,Standard Class,Consumer,Office Supplies,30,3,Yes,No,19-05-2011
O-1131,1026,8.77,Standard Class,Corporate,Office Supplies,45,3,Yes,No,20-05-2011
O-1311,1026,8.85,Second Class,Corporate,Office Supplies,45,5,Yes,No,21-05-2011
O-1252,1015,9.12,Standard Class,Consumer,Office Supplies,45,0,Yes,No,22-05-2011
O-1426,1013,9.06,Same Day,Consumer,Furniture,45,3,Yes,No,23-05-2011
O-1205,1010,9.37,First Class,Consumer,Office Supplies,45,0,No,No,24-05-2011
O-1275,1024,9.71,First Class,Corporate,Office Supplies,45,0,Yes,No,25-05-2011
O-1381,1012,9.6,Standard Class,Corporate,Technology,45,0,Yes,No,26-05-2011
O-1394,1025,9.74,Standard Class,Corporate,Office Supplies,45,5,Yes,No,27-05-2011
O-1357,1017,9.94,First Class,Corporate,Office Supplies,45,5,Yes,No,28-05-2011
O-1610,1005,9.76,Standard Class,Corporate,Office Supplies,45,0,Yes,No,29-05-2011
O-1469,1029,9.6,Standard Class,Corporate,Office Supplies,45,5,Yes,No,30-05-2011
O-1540,1013,9.25,Standard Class,Consumer,Office Supplies,45,5,Yes,No,31-05-2011
O-1366,1011,9.08,First Class,Corporate,Office Supplies,45,0,Yes,No,01-06-2011
O-1637,1014,9.15,Same Day,Corporate,Office Supplies,45,0,Yes,No,02-06-2011
O-1635,1016,9.09,Standard Class,Corporate,Office Supplies,45,0,Yes,No,03-06-2011
O-1515,1022,9.13,First Class,Corporate,Office Supplies,45,5,Yes,No,04-06-2011
O-1588,1000,9.49,Standard Class,Consumer,Office Supplies,45,3,No,No,05-06-2011
O-1841,1029,9.71,First Class,Corporate,Office Supplies,14,0,Yes,No,06-06-2011
O-1555,1029,9.66,Same Day,Corporate,Office Supplies,45,0,Yes,No,07-06-2011
O-1658,1021,9.7,Second Class,Corporate,Office Supplies,45,5,Yes,No,08-06-2011
O-1603,1012,9.51,Standard Class,Corporate,Office Supplies,45,3,Yes,No,09-06-2011
O-1435,1012,9.66,Second Class,Corporate,Office Supplies,45,0,No,No,10-06-2011
O-1682,1029,9.62,First Class,Corporate,Office Supplies,45,3,Yes,No,11-06-2011
O-1596,1026,9.69,Second Class,Corporate,Office Supplies,45,0,Yes,No,12-06-2011
O-1565,1021,9.82,Standard Class,Corporate,Office Supplies,45,3,Yes,No,13-06-2011
O-1609,1026,9.57,Standard Class,Corporate,Office Supplies,45,5,No,No,14-06-2011
O-2063,1011,9.5,First Class,Corporate,Office Supplies,14,0,Yes,No,15-06-2011
O-1730,1000,9.57,Standard Class,Consumer,Office Supplies,45,0,No,No,16-06-2011
O-1758,1022,9.69,Standard Class,Corporate,Office Supplies,45,5,Yes,No,17-06-2011
O-1651,1011,9.77,Same Day,Corporate,Office Supplies,45,3,No,No,18-06-2011
O-1793,1010,10.21,Standard Class,Consumer,Office Supplies,45,0,Yes,No,19-06-2011
O-1657,1021,10,Second Class,Corporate,Office Supplies,45,0,Yes,No,20-06-2011
O-1739,1013,10.4,Standard Class,Consumer,Office Supplies,45,0,Yes,No,21-06-2011
O-1872,1000,10.36,Standard Class,Consumer,Furniture,45,0,No,No,22-06-2011
O-1901,1010,10.36,Standard Class,Consumer,Office Supplies,30,0,Yes,No,23-06-2011
O-2031,1015,10.38,First Class,Consumer,Office Supplies,45,0,Yes,No,24-06-2011
O-1770,1025,10.6,Standard Class,Corporate,Office Supplies,45,0,Yes,No,25-06-2011
O-1910,1022,10.6,Standard Class,Corporate,Office Supplies,30,0,Yes,No,26-06-2011
O-2071,1018,10.59,First Class,Corporate,Office Supplies,45,5,Yes,No,27-06-2011
O-2061,1013,10.56,Standard Class,Consumer,Office Supplies,45,5,Yes,No,28-06-2011
O-2194,1024,10.54,Standard Class,Corporate,Office Supplies,30,5,Yes,No,29-06-2011
O-1890,1025,10.75,Standard Class,Corporate,Office Supplies,45,3,Yes,No,30-06-2011
O-2134,1029,10.66,Standard Class,Corporate,Office Supplies,45,3,Yes,No,01-07-2011
O-2060,1024,10.43,Standard Class,Corporate,Office Supplies,45,5,Yes,No,02-07-2011
O-1997,1026,10.82,Standard Class,Corporate,Office Supplies,30,5,No,No,03-07-2011
O-2187,1026,11.09,First Class,Corporate,Furniture,45,3,Yes,No,04-07-2011
O-2328,1000,10.92,Standard Class,Consumer,Office Supplies,45,5,Yes,No,05-07-2011
O-2158,1007,11,Second Class,Corporate,Office Supplies,45,3,Yes,No,06-07-2011
O-2166,1022,11,First Class,Corporate,Office Supplies,45,5,Yes,No,07-07-2011
O-2084,1007,10.69,Standard Class,Corporate,Office Supplies,45,3,Yes,No,08-07-2011
O-2355,1007,10.58,Standard Class,Corporate,Office Supplies,45,3,Yes,No,09-07-2011
O-2115,1007,10.77,Standard Class,Corporate,Furniture,45,3,No,No,10-07-2011
O-2146,1007,10.69,Standard Class,Corporate,Office Supplies,45,0,No,No,11-07-2011
O-2320,1010,10.6,First Class,Consumer,Office Supplies,45,3,Yes,No,12-07-2011
O-2406,1015,10.66,Second Class,Consumer,Office Supplies,45,0,Yes,No,13-07-2011
O-2369,1012,10.54,Standard Class,Corporate,Office Supplies,45,5,Yes,No,14-07-2011
O-2142,1011,10.46,Standard Class,Corporate,Office Supplies,45,3,No,No,15-07-2011
O-2354,1003,10.75,Standard Class,Corporate,Office Supplies,45,0,Yes,No,16-07-2011
O-2304,1010,10.72,Standard Class,Consumer,Office Supplies,45,0,Yes,No,17-07-2011
O-2366,1029,10.77,Standard Class,Corporate,Office Supplies,45,3,Yes,No,18-07-2011
O-2180,1026,10.61,Second Class,Corporate,Office Supplies,45,0,Yes,No,19-07-2011
O-2385,1010,10.65,Standard Class,Consumer,Office Supplies,45,0,Yes,No,20-07-2011
O-2367,1025,11.28,Standard Class,Corporate,Furniture,45,5,No,No,21-07-2011
O-2540,1010,11.42,Standard Class,Consumer,Furniture,45,5,No,No,22-07-2011
O-2447,1025,11.64,Standard Class,Corporate,Technology,45,5,No,No,23-07-2011
O-2384,1013,11.58,Second Class,Consumer,Office Supplies,45,5,Yes,No,24-07-2011
O-2547,1010,11.67,Standard Class,Consumer,Office Supplies,45,0,Yes,No,25-07-2011
O-2646,1003,11.74,Standard Class,Corporate,Office Supplies,45,3,Yes,No,26-07-2011
O-2399,1011,11.49,Standard Class,Corporate,Office Supplies,45,3,No,No,27-07-2011
O-2500,1007,11.49,First Class,Corporate,Office Supplies,45,3,Yes,No,28-07-2011
O-2573,1026,11.58,Second Class,Corporate,Office Supplies,30,5,Yes,No,29-07-2011
O-2410,1011,11.31,Standard Class,Corporate,Office Supplies,45,0,Yes,No,30-07-2011
O-2640,1005,11.28,Standard Class,Corporate,Office Supplies,45,5,Yes,No,31-07-2011
O-2666,1012,11.18,First Class,Corporate,Office Supplies,30,5,No,No,01-08-2011
O-2724,1021,11.39,Standard Class,Corporate,Office Supplies,45,5,Yes,No,02-08-2011
O-2568,1012,11.5,Same Day,Corporate,Office Supplies,45,0,Yes,No,03-08-2011
O-2743,1029,11.78,Second Class,Corporate,Office Supplies,45,5,Yes,No,04-08-2011
O-2545,1013,11.91,Standard Class,Consumer,Office Supplies,45,0,Yes,No,05-08-2011
O-2857,1025,11.87,Standard Class,Corporate,Office Supplies,45,5,Yes,No,06-08-2011
O-2853,1022,12.05,Standard Class,Corporate,Office Supplies,14,0,No,No,07-08-2011
O-2729,1003,12.1,Same Day,Corporate,Office Supplies,45,0,No,No,08-08-2011
O-2980,1024,12.01,Standard Class,Corporate,Office Supplies,45,5,Yes,No,09-08-2011
O-2842,1025,12.23,Standard Class,Corporate,Office Supplies,45,5,Yes,No,10-08-2011
O-2914,1013,12.26,Standard Class,Consumer,Office Supplies,30,0,No,No,11-08-2011
O-2738,1007,12.35,Second Class,Corporate,Office Supplies,45,0,No,No,12-08-2011
O-3044,1022,12.66,Standard Class,Corporate,Office Supplies,45,3,Yes,No,13-08-2011
O-3063,1003,12.9,First Class,Corporate,Furniture,45,5,No,No,14-08-2011
O-2852,1026,13.09,Standard Class,Corporate,Office Supplies,45,3,Yes,No,15-08-2011
O-2983,1024,12.79,Standard Class,Corporate,Office Supplies,45,5,Yes,No,16-08-2011
O-2603,1026,13.12,Standard Class,Corporate,Office Supplies,45,0,No,No,17-08-2011
O-3067,1025,13.11,Same Day,Corporate,Office Supplies,45,0,Yes,No,18-08-2011
O-3145,1012,13.09,Second Class,Corporate,Furniture,45,5,Yes,No,19-08-2011
O-3079,1012,13.05,Standard Class,Corporate,Office Supplies,45,3,Yes,No,20-08-2011
O-3231,1022,13.02,Standard Class,Corporate,Office Supplies,45,3,Yes,No,21-08-2011
O-3234,1025,13.04,Standard Class,Corporate,Office Supplies,45,5,Yes,No,22-08-2011
O-3155,1025,12.83,Second Class,Corporate,Office Supplies,45,3,Yes,No,23-08-2011
O-3334,1010,12.43,Second Class,Consumer,Technology,45,0,Yes,No,24-08-2011
O-3384,1025,12.61,Standard Class,Corporate,Office Supplies,30,0,Yes,No,25-08-2011
O-3237,1021,12.68,Standard Class,Corporate,Office Supplies,45,0,Yes,No,26-08-2011
O-3607,1007,12.31,Standard Class,Corporate,Office Supplies,14,3,Yes,No,27-08-2011
O-3266,1026,12.72,Standard Class,Corporate,Office Supplies,45,5,Yes,No,28-08-2011
O-3254,1000,12.65,Standard Class,Consumer,Office Supplies,45,5,No,No,29-08-2011
O-3219,1022,12.53,Standard Class,Corporate,Office Supplies,45,0,Yes,No,30-08-2011
O-3485,1012,12.21,Standard Class,Corporate,Office Supplies,45,3,Yes,No,31-08-2011
O-3576,1011,12.33,Standard Class,Corporate,Office Supplies,45,3,Yes,No,01-09-2011
O-3511,1011,12.11,Second Class,Corporate,Office Supplies,45,3,Yes,No,02-09-2011
O-3543,1013,11.84,First Class,Consumer,Office Supplies,45,3,Yes,No,03-09-2011
O-3448,1013,11.74,Standard Class,Consumer,Office Supplies,45,0,Yes,No,04-09-2011
O-3499,1025,11.64,Second Class,Corporate,Office Supplies,30,0,No,No,05-09-2011
O-3630,1003,11.65,Standard Class,Corporate,Office Supplies,45,3,Yes,No,06-09-2011
O-3665,1016,11.55,Standard Class,Corporate,Office Supplies,45,0,Yes,No,07-09-2011
O-3637,1010,12.12,First Class,Consumer,Office Supplies,30,0,Yes,No,08-09-2011
O-3653,1013,11.97,Second Class,Consumer,Office Supplies,45,3,Yes,No,09-09-2011
O-3611,1030,12.24,Standard Class,Corporate,Office Supplies,45,0,Yes,No,10-09-2011
O-3711,1026,12.15,Standard Class,Corporate,Furniture,45,5,Yes,No,11-09-2011
O-3704,1024,12.21,Standard Class,Corporate,Furniture,30,0,No,No,12-09-2011
O-3744,1029,13.22,First Class,Corporate,Office Supplies,45,5,Yes,No,13-09-2011
O-3837,1011,13.86,Standard Class,Corporate,Technology,45,0,Yes,No,14-09-2011
O-3597,1011,13.69,Standard Class,Corporate,Office Supplies,45,0,No,No,15-09-2011
O-3833,1013,13.52,Second Class,Consumer,Office Supplies,30,0,Yes,No,16-09-2011
O-4024,1016,13.87,Standard Class,Corporate,Office Supplies,45,3,Yes,No,17-09-2011
O-3903,1013,13.56,Second Class,Consumer,Office Supplies,30,5,Yes,No,18-09-2011
O-3717,1012,12.72,First Class,Corporate,Office Supplies,45,0,Yes,No,19-09-2011
O-3996,1021,12.64,Second Class,Corporate,Office Supplies,14,3,Yes,No,20-09-2011
O-3936,1022,12.4,Second Class,Corporate,Office Supplies,14,0,Yes,No,21-09-2011
O-3877,1013,12.24,First Class,Consumer,Office Supplies,45,3,Yes,No,22-09-2011
O-3956,1024,12.39,Second Class,Corporate,Office Supplies,30,0,No,No,23-09-2011
O-3613,1021,12.32,Standard Class,Corporate,Office Supplies,45,3,No,No,24-09-2011
O-3868,1018,12.2,Same Day,Corporate,Office Supplies,45,0,Yes,No,25-09-2011
O-3804,1025,12.28,First Class,Corporate,Office Supplies,45,5,Yes,No,26-09-2011
O-4093,1025,12.22,Standard Class,Corporate,Office Supplies,30,0,Yes,No,27-09-2011
O-3769,1024,12.25,First Class,Corporate,Office Supplies,45,0,Yes,No,28-09-2011
O-4052,1012,12.11,Second Class,Corporate,Office Supplies,30,0,Yes,No,29-09-2011
O-4245,1021,12.11,Standard Class,Corporate,Office Supplies,14,0,Yes,No,30-09-2011
O-4112,1024,11.99,Standard Class,Corporate,Office Supplies,45,5,Yes,No,01-10-2011
O-4118,1029,12.02,Standard Class,Corporate,Office Supplies,45,5,Yes,No,02-10-2011
O-3980,1021,12.31,Second Class,Corporate,Office Supplies,45,3,Yes,No,03-10-2011
O-3990,1021,12.31,Second Class,Corporate,Office Supplies,45,5,Yes,No,04-10-2011
O-4017,1021,11.9,First Class,Corporate,Office Supplies,45,5,Yes,No,05-10-2011
O-3981,1026,12.13,Second Class,Corporate,Office Supplies,45,0,Yes,No,06-10-2011
O-4317,1003,12.09,Same Day,Corporate,Office Supplies,45,5,Yes,No,07-10-2011
O-4181,1010,12.19,Standard Class,Consumer,Office Supplies,45,3,Yes,No,08-10-2011
O-4373,1025,12.17,First Class,Corporate,Furniture,45,3,Yes,No,09-10-2011
O-4196,1025,12.12,Standard Class,Corporate,Office Supplies,45,5,Yes,No,10-10-2011
O-4053,1024,12.27,Second Class,Corporate,Office Supplies,45,5,No,No,11-10-2011
O-4733,1006,12.74,Same Day,Consumer,Office Supplies,45,3,Yes,No,12-10-2011
O-4482,1021,12.79,Standard Class,Corporate,Office Supplies,30,0,Yes,No,13-10-2011
O-4184,1022,12.72,Standard Class,Corporate,Office Supplies,45,3,Yes,No,14-10-2011
O-3969,1024,12.66,Standard Class,Corporate,Office Supplies,45,3,No,No,15-10-2011
O-4201,1025,11.99,Standard Class,Corporate,Office Supplies,45,3,No,No,16-10-2011
O-4675,1022,12.09,Standard Class,Corporate,Furniture,30,3,No,No,17-10-2011
O-4323,1018,12.44,Standard Class,Corporate,Office Supplies,45,0,No,No,18-10-2011
O-4276,1024,12.2,Second Class,Corporate,Office Supplies,45,0,Yes,No,19-10-2011
O-4495,1007,12.33,Standard Class,Corporate,Office Supplies,45,3,Yes,No,20-10-2011
O-4642,1026,12.6,Standard Class,Corporate,Office Supplies,45,5,Yes,No,21-10-2011
O-4405,1021,12.53,First Class,Corporate,Furniture,45,5,No,No,22-10-2011
O-4707,1024,12.57,Standard Class,Corporate,Furniture,45,0,Yes,No,23-10-2011
O-4874,1026,12.57,First Class,Corporate,Office Supplies,14,5,No,No,24-10-2011
O-4544,1022,12.84,First Class,Corporate,Office Supplies,45,5,Yes,No,25-10-2011
O-4731,1026,12.63,Standard Class,Corporate,Office Supplies,45,5,Yes,No,26-10-2011
O-4474,1021,12.86,Standard Class,Corporate,Office Supplies,45,3,Yes,No,27-10-2011
O-4645,1029,12.8,Standard Class,Corporate,Office Supplies,45,0,No,No,28-10-2011
O-4293,1022,12.8,First Class,Corporate,Office Supplies,45,0,No,No,29-10-2011
O-4927,1027,13.02,Standard Class,Consumer,Office Supplies,45,0,No,No,30-10-2011
O-4883,1025,13.07,Standard Class,Corporate,Furniture,45,3,Yes,No,31-10-2011
O-4959,1007,13.41,Same Day,Corporate,Office Supplies,30,3,No,No,01-11-2011
