Cust_id,Qtr1_Bal,Qtr2_Bal,Qtr3_Bal,Qtr4_Bal,Perc_inc_q4_q1,Wallet_trx,Age,Gender,Area
C10798,18,36,23,83,3.6,86,,Male,North
C10912,13,20,31,69,4.3,100,,Male,North
C11000,11,30,26,74,5.7,129,,Male,West
C11068,8,34,19,75,8.4,186,,Female,South
C1578,37,27,18,73,1,34,,Female,East
C1636,21,21,22,63,2,53,,Male,West
C1704,27,34,20,81,2,55,,Female,West
C1716,37,23,19,91,1.5,42,,Male,West
C1756,40,38,16,94,1.4,42,,Female,North
C2368,6,27,25,57,8.5,188,,Female,North
C2756,41,40,33,83,1,34,,Male,North
C2758,1,37,25,92,91,1915,,Male,North
C2783,24,13,11,91,2.8,72,,Female,West
C2874,50,33,16,76,0.5,25,,Female,South
C2878,2,39,37,83,40.5,858,,Female,North
C2955,44,31,22,80,0.8,29,,Male,East
C2969,47,18,11,69,0.5,22,,Male,North
C3286,24,9,19,87,2.6,66,,Male,North
C3300,44,32,25,56,0.3,18,,Male,North
C3844,24,23,13,55,1.3,38,,Male,West
C4069,10,21,18,72,6.2,141,,Female,West
C4151,41,36,31,79,0.9,32,,Male,East
C4407,9,32,18,75,7.3,163,,Male,West
C4437,14,35,13,89,5.4,124,,Female,East
C4626,46,34,29,77,0.7,26,,Male,West
C4697,12,11,27,56,3.7,88,,Female,South
C4787,47,28,25,75,0.6,25,,Male,South
C4917,39,21,16,84,1.2,36,,Male,West
C4974,48,38,16,58,0.2,19,,Female,North
C5144,25,41,32,69,1.8,50,,Female,West
C5738,1,19,16,92,91,1917,,Female,South
C5786,35,39,16,84,1.4,43,,Female,East
C5876,25,24,16,76,2,56,,Female,South
C6146,34,35,17,90,1.6,46,,Male,West
C6651,11,30,10,94,7.5,170,,Female,West
C7188,24,12,24,79,2.3,59,,Male,West
C7237,40,23,23,83,1.1,37,,Female,South
C7331,7,15,15,88,11.6,253,,Female,South
C7563,9,23,18,79,7.8,174,,Female,North
C7645,14,36,24,67,3.8,89,,Male,South
C7744,31,32,30,93,2,53,,Male,North
C7793,15,39,10,84,4.6,108,,Female,West
C7852,5,15,25,67,12.4,268,,Male,West
C8174,1,14,22,92,91,1915,,Male,North
C10130,35,23,24,55,0.6,24,,Male,West
C10186,33,21,25,60,0.8,31,,Female,South
C10366,7,20,16,93,12.3,268,,Female,West
C10419,3,34,34,66,21,449,,Female,West
C10477,24,26,22,83,2.5,65,,Female,South
C10691,6,20,28,74,11.3,246,,Male,South
C10736,30,8,19,68,1.3,38,42,Male,West
C1395,32,33,18,55,0.7,27,,Male,West
C1893,41,11,21,80,1,34,,Female,East
C2061,5,8,21,69,12.8,278,,Female,West
C2163,30,24,38,85,1.8,50,,Male,North
C2195,1,10,19,84,83,1749,,Female,East
C2532,11,33,32,79,6.2,139,,Male,West
C2546,41,18,25,55,0.3,19,,Male,South
C2573,31,16,18,83,1.7,49,,Female,North
C2598,28,32,14,56,1,32,,Male,East
C2681,46,18,24,90,1,32,,Male,South
C2984,34,30,21,81,1.4,41,,Male,North
C3384,26,10,37,59,1.3,38,,Male,East
C3386,9,35,30,81,8,177,,Male,West
C3873,30,31,21,68,1.3,40,,Female,West
C4045,2,10,22,74,36,762,,Male,West
C4463,18,19,28,77,3.3,79,,Male,North
C4762,27,25,15,56,1.1,34,,Male,West
C5114,23,23,25,81,2.5,66,,Female,West
C5202,17,31,16,86,4.1,97,,Female,South
C5773,5,16,36,93,17.6,379,,Female,East
C5834,9,18,23,59,5.6,127,,Female,North
C6456,40,39,19,81,1,34,,Male,West
C6819,46,40,27,95,1.1,37,,Female,East
C7040,45,10,23,69,0.5,25,,Female,North
C7209,19,21,34,81,3.3,79,,Male,East
C7459,47,16,28,93,1,33,,Male,West
C7988,42,39,24,74,0.8,28,,Male,West
C8067,38,10,20,66,0.7,29,,Female,West
C8210,39,16,24,94,1.4,42,,Male,South
C8379,39,10,21,80,1.1,36,,Female,South
C8557,22,17,23,84,2.8,72,39,Female,West
C8596,50,41,22,81,0.6,26,,Male,South
C8638,8,29,17,62,6.8,150,,Male,East
C8772,15,22,20,74,3.9,92,,Male,East
C9225,43,19,17,89,1.1,35,,Male,West
C9324,10,22,10,65,5.5,125,,Male,South
C9753,50,21,13,66,0.3,21,,Female,South
C9783,24,25,14,88,2.7,67,,Male,West
C9947,20,24,23,77,2.9,70,,Male,East
C10015,22,30,32,65,2,52,,Male,North
C1120,31,24,23,79,1.5,46,,Female,North
C1168,9,25,35,66,6.3,142,,Male,South
C1410,48,31,18,74,0.5,24,,Male,South
C1654,5,8,34,71,13.2,287,,Female,North
C2261,14,19,40,57,3.1,74,,Male,North
C2455,3,33,15,91,29.3,622,,Male,North
C2927,5,36,16,94,17.8,381,,Male,South
C3498,24,39,24,58,1.4,43,,Female,West
C3952,21,22,12,67,2.2,59,,Female,East
C4866,46,18,25,63,0.4,22,,Female,East
C5165,26,12,22,86,2.3,62,,Female,West
C5245,34,13,21,69,1,35,,Female,North
C5419,47,15,17,73,0.6,26,,Female,East
C6197,4,8,13,85,20.3,432,,Male,West
C6267,26,38,17,73,1.8,51,,Female,North
C6400,42,38,17,70,0.7,28,,Female,North
C7669,12,11,27,74,5.2,118,,Male,
C7710,6,36,23,76,11.7,255,,Female,West
C8708,39,16,22,92,1.4,42,,Female,North
C9006,44,8,12,80,0.8,29,,Male,East
C9070,8,21,24,64,7,156,,Male,West
C9474,5,24,15,66,12.2,266,,Female,East
C9502,18,39,30,73,3.1,74,,Male,South
C9555,24,29,13,84,2.5,65,,Female,West
C9660,23,27,27,74,2.2,57,,Male,West
C9792,21,21,23,70,2.3,62,,Female,North
C10150,28,16,30,77,1.8,48,41,Male,North
C10170,31,32,23,94,2,54,38,Male,North
C10294,10,12,25,72,6.2,141,43,Female,East
C10385,26,37,26,61,1.3,41,44,Female,West
C10418,49,30,25,91,0.9,32,32,Female,West
C10464,8,17,22,62,6.8,150,21,Male,North
C10644,13,17,23,67,4.2,97,33,Male,South
C1070,15,22,21,80,4.3,103,21,Female,East
C10886,15,30,16,87,4.8,113,44,Female,East
C10890,22,32,34,84,2.8,70,30,Male,East
C1230,9,37,21,70,6.8,151,21,Male,North
C1451,1,10,32,86,85,1791,27,Female,South
C1546,37,17,22,60,0.6,25,32,Male,West
C1557,1,26,17,72,71,1497,30,Female,North
C1873,4,15,11,93,22.3,476,33,Female,East
C1928,18,31,27,63,2.5,65,30,Female,South
C2490,11,12,19,62,4.6,109,32,Female,West
C3081,9,28,19,94,9.4,209,20,Female,North
C3106,30,14,20,89,2,53,40,Male,North
C3253,27,16,33,88,2.3,59,45,Male,West
C3704,19,27,29,87,3.6,86,44,Male,West
C3893,12,12,30,64,4.3,102,20,Female,South
C4114,13,41,19,94,6.2,142,36,Female,North
C4510,15,10,30,66,3.4,81,41,Male,West
C4514,4,23,22,75,17.8,382,33,Female,North
C4639,44,21,28,57,0.3,20,43,Female,South
C4896,40,26,17,59,0.5,22,31,Male,West
C5357,45,30,13,56,0.2,19,33,Female,East
C5652,5,13,26,83,15.6,337,34,Female,South
C5731,26,23,20,55,1.1,34,36,Male,North
C5758,22,26,15,71,2.2,57,35,Male,East
C5767,29,24,20,89,2.1,57,42,Female,West
C5910,22,11,14,60,1.7,47,42,Male,West
C6565,18,20,21,63,2.5,65,37,Female,West
C6737,47,31,28,63,0.3,20,42,Male,West
C7016,31,41,21,66,1.1,37,30,Female,South
C7074,39,42,20,80,1.1,34,33,Male,North
C7522,47,38,22,79,0.7,27,18,Male,West
C7648,39,35,16,82,1.1,37,30,Female,South
C8240,24,30,26,95,3,73,42,Male,West
C8288,4,33,14,76,18,387,40,Female,North
C8362,48,23,17,65,0.4,20,37,Male,South
C8614,32,8,19,84,1.6,46,44,Male,North
C8706,23,14,16,79,2.4,62,38,Male,West
C8738,6,42,22,63,9.5,207,42,Male,North
C9053,6,19,21,60,9,199,18,Female,North
C9395,13,31,29,80,5.2,120,42,Female,North
C9467,44,24,20,67,0.5,23,21,Male,North
C9621,36,18,27,58,0.6,27,29,Female,North
C9724,49,40,16,78,0.6,27,31,Female,South
C9790,13,23,24,62,3.8,91,29,Female,North
C9797,14,29,15,86,5.1,120,40,Female,North
C1007,4,24,29,85,20.3,434,,Female,South
C10256,17,37,23,92,4.4,103,,Male,South
C1032,15,23,18,88,4.9,112,,Male,North
C10574,32,42,18,87,1.7,50,,Female,North
C10750,25,23,27,86,2.4,64,,Female,East
C10943,33,30,20,72,1.2,36,,Male,West
C10950,24,9,20,95,3,73,,Male,West
C1171,3,23,34,65,20.7,440,,Male,South
C1314,18,16,32,92,4.1,99,,Female,West
C1441,3,30,11,71,22.7,482,,Male,West
C1594,5,15,20,68,12.6,274,,Female,West
C2357,9,12,17,67,6.4,144,,Male,South
C2518,14,10,30,55,2.9,73,,Female,South
C2597,18,23,23,63,2.5,63,,Male,South
C2731,7,19,34,75,9.7,212,,Male,West
C3012,42,19,29,93,1.2,38,,Male,North
C3505,6,17,33,56,8.3,185,,Female,North
C3611,46,42,18,90,1,32,,Male,South
C3623,15,32,17,67,3.5,85,,Female,South
C4020,19,23,19,77,3.1,74,,Male,East
C4570,40,27,20,90,1.3,40,,Female,West
C4791,29,8,23,82,1.8,50,,Male,West
C4858,23,26,20,89,2.9,71,,Male,West
C4900,34,37,16,70,1.1,36,,Female,West
C4905,19,15,22,68,2.6,65,,Male,North
C5315,6,27,33,60,9,199,,Female,North
C5348,29,40,33,65,1.2,37,,Male,North
C5377,32,26,30,89,1.8,51,,Female,North
C6157,2,13,13,80,39,825,,Male,West
C6166,38,24,23,90,1.4,41,,Male,North
C6677,20,38,18,85,3.3,81,,Female,North
C6730,45,19,21,84,0.9,32,,Female,West
C6766,3,24,17,95,30.7,652,,Female,North
C6801,43,9,23,56,0.3,19,,Male,West
C7031,36,36,19,80,1.2,39,,Female,North
C7549,12,17,15,57,3.8,88,,Male,North
C7978,17,25,31,72,3.2,80,,Female,North
C8289,46,16,15,79,0.7,27,,Male,West
C8298,27,30,26,84,2.1,55,,Male,North
C8884,41,12,20,89,1.2,37,,Male,North
C8912,2,19,21,90,44,932,,Female,East
C8959,46,36,12,60,0.3,21,,Female,West
C9193,21,16,31,86,3.1,76,,Male,West
C9264,13,8,22,62,3.8,91,,Female,West
C10375,11,29,29,66,5,114,25,Male,South
C1056,33,26,30,90,1.7,48,28,Male,South
C10604,50,10,22,83,0.7,28,28,Female,West
C10740,28,9,18,78,1.8,51,30,Female,West
C10887,35,14,35,59,0.7,28,18,Female,West
C1103,13,36,28,93,6.2,139,19,Male,South
C11055,23,19,21,78,2.4,61,29,Male,East
C11065,41,32,17,62,0.5,25,28,Female,West
C1516,15,16,21,61,3.1,74,19,Male,West
C1682,39,24,13,80,1.1,36,23,Female,North
C1827,23,8,21,67,1.9,51,19,Male,West
C1895,20,18,19,95,3.8,91,29,Female,West
C2581,30,32,17,64,1.1,35,30,Male,West
C2817,48,21,16,90,0.9,31,27,Male,North
C2924,32,28,19,94,1.9,52,20,Male,West
C3290,35,40,14,66,0.9,32,23,Female,East
C3389,43,38,29,77,0.8,29,18,Male,West
C3684,17,15,19,87,4.1,99,19,Female,East
C3781,5,34,21,61,11.2,243,21,Male,South
C4132,36,29,30,89,1.5,43,30,Male,North
C4367,16,32,31,80,4,94,30,Male,North
C4371,35,11,32,62,0.8,30,19,Female,South
C4381,9,28,17,79,7.8,174,26,Female,North
C4461,15,20,14,61,3.1,74,30,Male,West
C4918,1,17,19,70,69,1455,23,Female,North
C5024,7,15,18,73,9.4,208,23,Female,West
C5461,20,12,24,88,3.4,84,18,Female,West
C5502,42,34,16,59,0.4,21,24,Male,South
C5616,20,20,20,68,2.4,61,18,Male,West
C5752,10,17,19,93,8.3,185,25,Female,South
C5851,25,41,19,91,2.6,68,24,Female,West
C6377,10,34,32,81,7.1,158,19,Male,South
C6686,6,37,26,93,14.5,312,28,Male,North
C6875,33,26,25,87,1.6,48,20,Female,West
C7198,10,14,18,86,7.6,171,26,Female,West
C7242,30,41,38,94,2.1,56,24,Male,South
C7322,6,39,14,90,14,302,26,Male,North
C7368,4,11,19,81,19.3,413,29,Female,South
C7588,38,31,19,64,0.7,28,26,Female,South
C7608,46,18,28,66,0.4,21,21,Male,West
C7641,8,11,28,87,9.9,216,21,Male,East
C7949,41,30,25,84,1,36,20,Female,West
C8024,40,16,27,87,1.2,39,23,Female,North
C8064,17,22,27,94,4.5,105,20,Male,South
C8514,26,18,22,75,1.9,51,19,Male,South
C8688,32,11,24,90,1.8,52,27,Female,South
C8749,5,23,15,92,17.4,375,20,Female,North
C8811,45,30,33,65,0.4,24,23,Female,West
C9035,46,32,32,71,0.5,26,19,Female,West
C9083,13,17,20,91,6,138,19,Female,North
C9095,5,21,30,90,17,364,30,Male,East
C9598,41,38,19,76,0.9,32,30,Female,North
C9802,1,35,28,94,93,1957,22,Male,West
C9840,30,10,36,83,1.8,48,22,Male,West
C9876,38,22,14,94,1.5,43,24,Male,West
C10073,16,10,32,90,4.6,107,,Male,West
C10251,34,38,29,56,0.6,25,,Male,West
C10426,5,28,27,87,16.4,352,41,Male,North
C10639,14,8,17,61,3.4,80,36,Male,South
C1093,35,26,34,58,0.7,28,40,Female,West
C1572,2,11,24,65,31.5,667,,Male,South
C1703,36,37,28,70,0.9,32,33,Male,South
C1828,16,37,14,73,3.6,85,,Male,North
C2050,39,42,17,77,1,34,,Female,South
C2130,47,22,14,71,0.5,25,,Female,North
C2444,34,20,19,67,1,32,34,Male,South
C3156,28,22,26,70,1.5,43,,Male,North
C3315,5,25,26,94,17.8,383,35,Female,South
C4085,50,18,16,72,0.4,22,36,Male,East
C4350,17,33,21,67,2.9,72,,Male,North
C4741,10,13,20,93,8.3,185,,Female,South
C5023,14,21,22,65,3.6,88,,Female,East
C5156,15,21,29,56,2.7,69,,Female,South
C5285,6,22,27,72,11,241,,Female,West
C5374,45,13,22,78,0.7,30,,Female,West
C5604,2,18,12,64,31,657,,Male,South
C5737,49,33,31,94,0.9,32,41,Male,North
C5805,39,42,22,74,0.9,31,,Male,West
C6023,48,27,27,78,0.6,28,,Female,West
C6030,50,37,22,59,0.2,16,43,Male,West
C6257,39,29,18,93,1.4,43,36,Female,North
C6407,38,39,22,62,0.6,27,38,Female,West
C6446,2,22,19,85,41.5,879,,Female,East
C6590,18,29,20,70,2.9,71,,Male,West
C7230,30,16,16,77,1.6,44,,Male,North
C7874,19,38,30,73,2.8,72,,Female,West
C8107,23,21,33,89,2.9,71,,Male,East
C8197,32,11,16,85,1.7,48,,Female,North
C8542,35,9,23,85,1.4,44,40,Female,North
C8954,48,8,22,63,0.3,21,,Female,South
C9307,23,9,31,67,1.9,51,,Male,North
C9449,42,25,14,59,0.4,21,,Male,South
C9760,48,15,19,62,0.3,19,,Male,North
C9825,17,9,33,65,2.8,71,,Female,West
C10308,24,17,24,65,1.7,47,,Male,South
C1035,43,8,18,74,0.7,27,,Male,North
C11069,9,12,14,79,7.8,174,,Female,North
C2401,16,8,18,58,2.6,67,,Female,West
C2431,19,19,12,81,3.3,79,,Male,
C2504,42,23,31,73,0.7,30,,Female,North
C2629,24,33,23,93,2.9,73,,Female,North
C3610,43,27,28,72,0.7,26,,Male,South
C3967,22,41,21,64,1.9,51,,Male,West
C4231,10,11,25,76,6.6,150,,Female,North
C5168,8,26,16,70,7.8,173,,Female,South
C5203,14,29,30,56,3,73,,Male,North
C5366,26,28,20,56,1.2,35,,Male,West
C5369,15,29,19,87,4.8,113,,Female,North
C6253,39,39,16,55,0.4,21,,Male,
C6493,41,10,30,71,0.7,27,,Male,West
C7005,7,35,37,77,10,218,,Male,West
C7082,23,39,19,78,2.4,63,,Female,North
C7314,34,39,31,87,1.6,44,,Male,North
C7443,6,12,25,66,10,218,,Male,North
C8939,36,16,22,73,1,33,,Male,North
C9157,29,19,14,89,2.1,57,,Female,South
C10679,9,35,21,83,8.2,181,27,Male,North
C10967,26,39,31,66,1.5,45,19,Female,South
C1121,6,10,19,55,8.2,179,28,Male,North
C1189,50,16,23,73,0.5,24,19,Female,South
C1564,46,32,18,60,0.3,21,19,Female,East
C1633,38,33,14,75,1,34,29,Female,North
C1733,23,17,28,75,2.3,60,24,Female,North
C1784,32,27,21,81,1.5,44,28,Male,South
C1874,33,16,19,81,1.5,42,18,Male,North
C1924,46,12,16,85,0.8,30,20,Male,North
C1945,41,30,29,86,1.1,35,29,Male,North
C2049,17,12,23,58,2.4,61,28,Male,North
C2135,39,41,31,86,1.2,37,30,Male,East
C2160,41,24,34,63,0.5,25,25,Female,West
C2562,16,25,22,59,2.7,68,23,Female,North
C2630,8,27,19,83,9.4,205,28,Male,North
C2722,36,23,27,66,0.8,31,21,Female,North
C2804,14,38,21,90,5.4,124,18,Male,North
C2999,34,40,26,61,0.8,28,21,Male,North
C3037,49,39,16,55,0.1,15,23,Male,West
C3217,23,38,20,85,2.7,67,25,Male,East
C3306,19,17,19,55,1.9,50,29,Male,West
C3370,26,30,22,79,2,54,20,Male,South
C3451,28,30,17,76,1.7,49,25,Female,West
C3501,13,12,23,65,4,96,24,Female,West
C3783,44,32,23,68,0.5,26,26,Female,South
C3858,48,18,35,57,0.2,18,19,Female,West
C3936,28,38,23,61,1.2,36,25,Male,West
C4298,14,16,17,69,3.9,92,21,Male,East
C4357,12,41,37,67,4.6,108,23,Female,West
C4362,46,19,23,92,1,33,26,Male,West
C4380,30,25,33,93,2.1,57,23,Female,North
C4606,6,35,26,74,11.3,248,20,Female,West
C5084,10,26,18,92,8.2,181,28,Male,West
C5283,43,33,23,61,0.4,21,26,Male,West
C5592,39,30,19,73,0.9,32,27,Female,West
C5706,44,8,26,75,0.7,29,24,Female,West
C5716,38,42,26,84,1.2,39,28,Female,North
C5853,46,8,28,86,0.9,33,29,Female,South
C5998,28,10,12,85,2,56,25,Female,East
C6399,39,17,15,77,1,32,30,Male,North
C6726,32,40,22,58,0.8,31,27,Female,North
C6825,13,9,16,79,5.1,118,25,Female,South
C7007,45,19,24,56,0.2,19,19,Female,East
C7638,2,37,32,83,40.5,856,29,Male,West
C8223,42,12,15,95,1.3,39,26,Male,West
C8286,31,33,11,85,1.7,50,24,Female,North
C8729,31,15,20,87,1.8,49,21,Male,South
C9296,5,27,29,55,10,219,26,Female,South
C9327,14,35,17,86,5.1,118,20,Male,West
C9403,20,9,28,66,2.3,61,29,Female,West
C9510,17,42,21,67,2.9,74,18,Female,West
C10353,12,29,20,68,4.7,107,18,Male,North
C10421,37,41,28,82,1.2,39,30,Female,North
C10629,6,24,15,61,9.2,200,22,Male,West
C1211,9,29,25,78,7.7,170,32,Male,East
C1290,39,16,21,85,1.2,39,32,Female,North
C1396,37,18,18,65,0.8,30,38,Female,West
C1555,46,36,20,56,0.2,19,30,Female,East
C1840,4,26,24,64,15,324,42,Female,South
C1994,3,31,31,81,26,554,26,Female,East
C2055,8,38,13,77,8.6,190,24,Male,West
C2222,26,22,23,56,1.2,35,40,Male,West
C2523,17,11,25,64,2.8,68,30,Male,West
C2542,30,31,23,57,0.9,32,42,Female,East
C2620,39,24,26,94,1.4,44,20,Female,North
C2659,17,28,15,71,3.2,79,42,Female,South
C2688,21,33,14,77,2.7,67,26,Male,South
C2762,35,26,22,85,1.4,44,19,Female,East
C2876,9,40,37,69,6.7,149,38,Male,South
C3026,47,31,14,63,0.3,22,21,Female,West
C3273,3,42,19,72,23,489,24,Male,North
C3322,25,27,33,73,1.9,53,44,Female,West
C3622,29,25,24,76,1.6,47,24,Female,South
C4046,25,42,32,65,1.6,45,31,Male,West
C4775,44,14,31,72,0.6,26,33,Male,West
C4895,17,20,16,88,4.2,100,27,Female,South
C4987,22,9,18,84,2.8,72,22,Female,West
C5025,26,17,12,76,1.9,51,29,Male,West
C5112,45,16,25,68,0.5,25,30,Female,South
C5263,6,8,21,65,9.8,214,45,Male,West
C5345,43,32,20,89,1.1,37,39,Female,North
C5555,12,34,26,94,6.8,155,43,Female,West
C5681,20,37,33,59,2,51,37,Male,West
C5736,46,30,14,90,1,34,36,Female,West
C6523,16,34,28,90,4.6,107,39,Male,South
C6778,18,40,17,73,3.1,76,20,Female,East
C7560,25,32,11,60,1.4,42,32,Female,West
C7794,7,38,20,95,12.6,272,31,Male,North
C7869,46,40,22,85,0.8,30,25,Male,North
C7951,44,40,31,82,0.9,32,19,Female,West
C8322,35,24,32,55,0.6,26,32,Female,South
C8388,17,18,28,91,4.4,104,33,Female,North
C8444,11,25,19,70,5.4,122,32,Male,East
C8496,42,32,21,95,1.3,39,39,Male,South
C8715,8,28,29,55,5.9,132,21,Male,West
C8935,34,19,20,87,1.6,44,25,Male,South
C9041,25,35,27,59,1.4,40,29,Male,West
C9069,45,29,10,57,0.3,18,36,Male,South
C9160,42,29,25,68,0.6,25,45,Male,South
C9171,15,16,22,59,2.9,73,40,Female,West
C9251,30,38,21,88,1.9,54,29,Female,South
C9406,43,20,36,91,1.1,36,37,Male,North
C9419,3,35,19,94,30.3,643,21,Male,East
C9557,4,39,19,80,19,408,27,Female,West
C10030,48,16,20,86,0.8,31,,Female,South
C10076,37,12,21,57,0.5,23,,Male,West
C10214,1,25,18,82,81,1707,,Female,West
C10295,15,42,13,84,4.6,108,,Female,South
C10324,8,12,24,84,9.5,210,,Female,North
C10411,42,22,24,59,0.4,21,,Male,West
C10653,13,34,34,71,4.5,103,,Male,West
C10800,26,22,28,94,2.6,66,,Male,South
C10901,19,10,22,90,3.7,89,,Male,West
C10920,5,22,20,59,10.8,234,,Male,West
C11095,19,30,20,88,3.6,87,,Male,South
C1122,18,9,17,77,3.3,79,,Male,West
C1244,31,37,19,80,1.6,45,,Male,North
C2004,48,18,22,77,0.6,25,,Male,North
C2376,22,16,29,85,2.9,73,,Female,West
C2406,47,10,26,87,0.9,32,,Female,North
C3126,3,37,16,71,22.7,484,,Female,East
C3204,36,18,33,68,0.9,30,,Male,South
C3292,32,26,24,76,1.4,40,,Male,West
C3374,34,41,19,89,1.6,48,,Female,North
C3705,49,11,24,58,0.2,18,,Female,South
C4053,13,42,15,86,5.6,129,,Female,West
C4184,38,34,22,90,1.4,41,,Male,West
C4289,46,37,20,78,0.7,27,,Male,South
C4408,35,32,18,95,1.7,48,,Male,West
C4475,34,22,10,95,1.8,51,,Female,West
C4661,3,26,35,80,25.7,545,,Male,North
C4748,33,27,15,65,1,34,,Female,West
C4764,37,23,17,88,1.4,41,,Male,South
C4779,2,33,10,63,30.5,646,,Male,West
C4963,34,9,15,76,1.2,40,,Female,South
C4999,50,38,14,83,0.7,28,,Female,East
C5270,7,27,36,83,10.9,236,,Male,South
C5766,35,17,15,68,0.9,32,,Male,West
C5792,3,41,25,72,23,489,,Male,East
C6561,14,14,20,67,3.8,91,,Female,North
C6925,33,21,18,70,1.1,35,,Male,West
C7191,5,42,23,74,13.8,297,,Male,North
C7354,44,33,14,58,0.3,21,,Female,South
C7821,9,26,24,78,7.7,172,,Female,West
C7922,30,32,33,81,1.7,49,,Female,North
C8239,10,38,40,75,6.5,148,,Female,West
C8364,26,13,14,73,1.8,49,,Male,North
C8442,25,39,20,73,1.9,51,,Male,South
C8600,29,42,17,80,1.8,48,,Male,West
C8740,28,37,28,81,1.9,51,,Male,West
C8790,40,41,17,83,1.1,37,,Female,South
C9338,45,33,21,65,0.4,22,,Male,South
C9363,36,41,14,89,1.5,43,,Male,North
C9390,4,31,19,81,19.3,411,,Male,North
C9539,25,30,14,60,1.4,42,,Female,North
C9577,48,30,22,90,0.9,33,,Female,West
C9650,37,29,25,94,1.5,46,,Female,North
C9701,41,24,16,66,0.6,27,,Female,South
C9744,13,34,32,73,4.6,106,,Male,East
C9843,25,41,17,85,2.4,63,,Female,East
C10350,13,36,13,75,4.8,112,29,Female,West
C10904,34,29,11,78,1.3,41,29,Female,West
C1105,19,22,22,63,2.3,61,23,Female,South
C11060,19,33,21,94,3.9,93,29,Male,North
C1166,49,12,36,55,0.1,15,26,Male,West
C1280,13,39,15,66,4.1,97,25,Female,North
C1978,38,27,25,59,0.6,26,26,Female,East
C2018,43,38,22,79,0.8,30,18,Male,West
C2460,23,37,20,75,2.3,60,27,Female,South
C3143,37,15,21,60,0.6,25,30,Male,North
C3443,23,28,22,74,2.2,59,26,Female,North
C3583,38,33,28,77,1,35,23,Female,North
C3861,27,38,16,64,1.4,42,30,Female,North
C4422,50,18,18,68,0.4,20,28,Male,West
C4430,17,12,25,73,3.3,81,26,Female,West
C4460,12,26,15,68,4.7,107,25,Male,West
C4968,25,35,23,81,2.2,58,24,Male,East
C5173,47,17,39,77,0.6,26,18,Male,West
C5238,1,24,12,81,80,1686,29,Female,South
C5305,26,26,17,91,2.5,64,23,Male,North
C5384,34,33,16,61,0.8,28,28,Male,West
C5471,27,40,14,60,1.2,37,28,Male,West
C5795,36,41,23,55,0.5,25,27,Female,East
C5808,38,19,17,94,1.5,43,29,Male,South
C5922,9,33,23,80,7.9,176,29,Female,South
C6025,10,38,35,73,6.3,143,22,Female,North
C6326,34,20,21,86,1.5,44,23,Male,North
C6596,30,13,23,59,1,32,23,Male,East
C6702,47,16,18,78,0.7,26,24,Male,North
C6889,13,9,18,77,4.9,115,18,Female,North
C7266,23,31,24,61,1.7,46,18,Male,West
C7569,31,29,15,66,1.1,35,26,Male,North
C7661,15,24,17,77,4.1,97,18,Male,South
C7762,29,37,23,93,2.2,60,22,Female,South
C7898,7,11,17,86,11.3,247,24,Female,West
C7996,40,9,32,76,0.9,31,19,Male,East
C8108,25,31,19,76,2,56,27,Female,West
C8634,12,19,22,90,6.5,148,24,Female,West
