Product,Sub-product,State,Rev_Million
Credit card,,MA,85
Debt collection,I do not know,NV,15
Credit card,,NY,76
Mortgage,Other mortgage,TX,31
Credit card,,OR,82
Mortgage,Other mortgage,GA,22
Mortgage,Conventional adjustable mortgage (ARM),VA,38
Credit reporting,,MI,39
Student loan,Non-federal student loan,MD,29
Mortgage,Home equity loan or line of credit,NY,36
Mortgage,Conventional fixed mortgage,GA,23
Bank account or service,Checking account,IL,18
Credit reporting,,OR,14
Mortgage,Conventional fixed mortgage,OK,32
Mortgage,Reverse mortgage,FL,34
Mortgage,Other mortgage,MO,28
Mortgage,Other mortgage,SC,11
Debt collection,"Other (i.e. phone, health club, etc.)",TX,10
Credit card,,MT,71
Credit reporting,,AL,12
Mortgage,Other mortgage,NH,13
Debt collection,I do not know,NY,40
Mortgage,FHA mortgage,PA,32
Credit reporting,,TX,45
Debt collection,Auto,IL,29
Consumer Loan,Vehicle loan,IL,60
Mortgage,Other mortgage,MD,16
Credit card,,CO,67
Consumer Loan,Vehicle loan,AL,73
Bank account or service,Savings account,CA,37
Credit card,,MO,63
Bank account or service,Other bank product/service,NC,33
Credit card,,PA,80
Bank account or service,Savings account,FL,39
Debt collection,Credit card,KS,20
Credit reporting,,FL,43
Debt collection,I do not know,CA,10
Bank account or service,Checking account,MI,15
Credit card,,ME,83
Credit card,,HI,59
Debt collection,Mortgage,NV,30
Bank account or service,Checking account,MA,28
Mortgage,Other mortgage,CO,39
Bank account or service,Checking account,,44
Mortgage,Conventional fixed mortgage,MD,11
Credit card,,MI,55
Credit card,,IL,64
Mortgage,Other mortgage,OH,27
Mortgage,FHA mortgage,FL,26
Bank account or service,Other bank product/service,FL,40
Student loan,Non-federal student loan,WA,44
Bank account or service,Checking account,AZ,18
Student loan,Non-federal student loan,NV,29
Credit card,,ID,63
Credit reporting,,WA,32
Credit card,,VT,82
Bank account or service,Savings account,NJ,38
Mortgage,Conventional adjustable mortgage (ARM),NV,12
Credit card,,RI,73
Credit card,,PR,57
Debt collection,Credit card,TX,18
Debt collection,"Other (i.e. phone, health club, etc.)",OR,17
Consumer Loan,Vehicle loan,NY,57
Student loan,Non-federal student loan,CA,26
Mortgage,Other mortgage,NM,26
Debt collection,I do not know,MI,40
Mortgage,Other mortgage,KS,30
Consumer Loan,Installment loan,GA,63
Debt collection,Medical,CA,11
Credit reporting,,MD,31
Mortgage,FHA mortgage,NY,42
Bank account or service,Checking account,NV,22
Mortgage,FHA mortgage,TX,30
Mortgage,FHA mortgage,MO,44
Mortgage,Conventional fixed mortgage,OH,36
Mortgage,Other mortgage,IL,15
Debt collection,Mortgage,GA,14
Mortgage,Other mortgage,VA,39
Credit reporting,,PA,43
Credit reporting,,SC,30
Debt collection,"Other (i.e. phone, health club, etc.)",CA,27
Credit card,,AZ,59
Student loan,Non-federal student loan,CO,39
Mortgage,Home equity loan or line of credit,CA,30
Bank account or service,Savings account,WA,32
Debt collection,Non-federal student loan,KS,15
Bank account or service,Checking account,VA,11
Mortgage,FHA mortgage,WA,25
Mortgage,VA mortgage,NV,36
Debt collection,Credit card,OK,21
Mortgage,Conventional fixed mortgage,MA,45
Mortgage,VA mortgage,NY,32
Mortgage,Other mortgage,NJ,36
Mortgage,Conventional fixed mortgage,IL,44
Bank account or service,Checking account,MD,16
Bank account or service,Checking account,CO,12
Mortgage,Other mortgage,MN,28
Credit card,,LA,55
Mortgage,Conventional fixed mortgage,CO,25
Mortgage,Conventional fixed mortgage,PA,11
Money transfers,Domestic (US) money transfer,CA,29
Debt collection,"Other (i.e. phone, health club, etc.)",LA,29
Mortgage,Conventional adjustable mortgage (ARM),NC,14
Bank account or service,Other bank product/service,GA,42
Mortgage,Conventional adjustable mortgage (ARM),NJ,36
Mortgage,Conventional fixed mortgage,WA,14
Mortgage,Other mortgage,DC,19
Student loan,Non-federal student loan,IL,25
Mortgage,Conventional adjustable mortgage (ARM),WA,34
Mortgage,FHA mortgage,ID,11
Bank account or service,Checking account,WA,43
Mortgage,Other mortgage,WA,18
Mortgage,Other mortgage,UT,27
Mortgage,FHA mortgage,IL,43
Credit card,,VA,58
Money transfers,Domestic (US) money transfer,KS,31
Credit card,,MD,53
Bank account or service,Other bank product/service,VA,31
Mortgage,Other mortgage,PA,28
Bank account or service,Other bank product/service,IL,27
Credit card,,NH,78
Bank account or service,Savings account,TN,30
Consumer Loan,Installment loan,SC,67
Mortgage,Conventional fixed mortgage,AZ,23
Mortgage,Other mortgage,MS,10
Mortgage,Other mortgage,MA,42
Credit reporting,,VA,44
Debt collection,Credit card,IL,29
Credit card,,AR,77
Mortgage,Conventional fixed mortgage,MI,19
Bank account or service,Savings account,ME,43
Student loan,Non-federal student loan,NJ,37
Mortgage,Conventional fixed mortgage,NC,28
Debt collection,"Other (i.e. phone, health club, etc.)",NJ,41
Bank account or service,(CD) Certificate of deposit,PA,18
Mortgage,Other mortgage,KY,43
Mortgage,Conventional adjustable mortgage (ARM),PA,35
Money transfers,Domestic (US) money transfer,MD,34
Mortgage,FHA mortgage,MD,21
Credit card,,CT,54
Debt collection,Mortgage,WI,27
Debt collection,Credit card,MN,24
Credit reporting,,NE,26
Mortgage,VA mortgage,NC,41
Mortgage,FHA mortgage,NJ,19
Mortgage,VA mortgage,SC,28
Credit reporting,,PR,26
Credit reporting,,LA,27
Bank account or service,Savings account,AZ,31
Debt collection,I do not know,IL,21
Debt collection,Mortgage,FL,14
Debt collection,"Other (i.e. phone, health club, etc.)",OH,25
Debt collection,Medical,PA,45
Mortgage,Conventional fixed mortgage,DE,39
Bank account or service,Checking account,DE,41
Mortgage,Conventional adjustable mortgage (ARM),MD,29
Mortgage,Conventional fixed mortgage,KY,31
Bank account or service,Other bank product/service,OH,30
Mortgage,Conventional adjustable mortgage (ARM),AZ,10
Debt collection,"Other (i.e. phone, health club, etc.)",PA,27
Debt collection,Auto,MO,24
Mortgage,Conventional adjustable mortgage (ARM),TN,19
Debt collection,Credit card,LA,18
Debt collection,"Other (i.e. phone, health club, etc.)",KS,35
Mortgage,FHA mortgage,MA,15
Debt collection,Credit card,NH,35
Debt collection,I do not know,MA,31
Debt collection,Mortgage,CA,28
Mortgage,Conventional adjustable mortgage (ARM),MN,12
Bank account or service,Checking account,PA,10
Debt collection,Credit card,AZ,15
Mortgage,Conventional fixed mortgage,SC,35
Student loan,Non-federal student loan,PA,39
Debt collection,"Other (i.e. phone, health club, etc.)",GA,20
Debt collection,Medical,FL,15
Student loan,Non-federal student loan,LA,14
Mortgage,Conventional fixed mortgage,KS,31
Mortgage,Other mortgage,AZ,34
Credit card,,NC,71
Mortgage,FHA mortgage,RI,44
Student loan,Non-federal student loan,NY,31
Mortgage,FHA mortgage,OR,44
Credit card,,WV,60
Student loan,Non-federal student loan,SC,40
Debt collection,I do not know,TX,29
Debt collection,Auto,NY,41
Mortgage,FHA mortgage,TN,31
Debt collection,I do not know,AL,11
Credit reporting,,TN,18
Mortgage,Conventional fixed mortgage,RI,34
Credit card,,MN,59
Debt collection,Mortgage,MI,41
Bank account or service,(CD) Certificate of deposit,AZ,45
Mortgage,Home equity loan or line of credit,FL,25
Debt collection,"Other (i.e. phone, health club, etc.)",MO,27
Consumer Loan,Vehicle loan,TX,77
Bank account or service,(CD) Certificate of deposit,WI,16
Mortgage,Conventional fixed mortgage,LA,45
Mortgage,Conventional fixed mortgage,WI,28
Bank account or service,Other bank product/service,MI,26
Debt collection,I do not know,,29
Mortgage,FHA mortgage,NC,17
Mortgage,Conventional adjustable mortgage (ARM),NY,34
Bank account or service,Checking account,MO,42
Debt collection,"Other (i.e. phone, health club, etc.)",MD,27
Credit card,,TN,62
Mortgage,Home equity loan or line of credit,PA,17
Credit reporting,,KS,35
Mortgage,Conventional fixed mortgage,MO,44
Mortgage,Reverse mortgage,MO,16
Student loan,Non-federal student loan,DE,29
Debt collection,Auto,VA,31
Debt collection,Auto,ID,40
Mortgage,Other mortgage,OR,33
Debt collection,Mortgage,CO,10
Credit reporting,,,10
Bank account or service,(CD) Certificate of deposit,MA,32
Bank account or service,Checking account,OH,20
Debt collection,Mortgage,SC,19
Debt collection,I do not know,TN,26
Bank account or service,(CD) Certificate of deposit,NY,24
Debt collection,Auto,TN,22
Consumer Loan,Installment loan,NE,57
Debt collection,Credit card,NE,41
Mortgage,Home equity loan or line of credit,GA,21
Mortgage,FHA mortgage,AL,14
Student loan,Non-federal student loan,AR,22
Bank account or service,Checking account,NC,25
Credit card,,AL,84
Credit card,,NE,51
Debt collection,Credit card,MO,25
Bank account or service,Savings account,OH,41
Mortgage,FHA mortgage,MN,44
Mortgage,Home equity loan or line of credit,MI,28
Mortgage,FHA mortgage,CO,14
Debt collection,Non-federal student loan,MO,24
Credit card,,DC,60
Credit reporting,,IN,40
Mortgage,Conventional adjustable mortgage (ARM),NH,32
Bank account or service,Checking account,MN,40
Bank account or service,(CD) Certificate of deposit,OH,29
Credit reporting,,NC,12
Bank account or service,(CD) Certificate of deposit,CA,24
Debt collection,I do not know,WI,45
Debt collection,"Other (i.e. phone, health club, etc.)",AL,17
Credit card,,KS,66
Mortgage,Conventional adjustable mortgage (ARM),AE,14
Mortgage,Conventional fixed mortgage,UT,15
Mortgage,Reverse mortgage,AZ,34
Mortgage,Conventional fixed mortgage,NM,13
Student loan,Non-federal student loan,NH,28
Debt collection,"Other (i.e. phone, health club, etc.)",WY,42
Mortgage,FHA mortgage,VA,26
Mortgage,Conventional adjustable mortgage (ARM),GA,45
Debt collection,"Other (i.e. phone, health club, etc.)",WA,31
Mortgage,Conventional fixed mortgage,HI,31
Credit reporting,,NV,42
Debt collection,Credit card,FL,30
Money transfers,International money transfer,,12
Mortgage,VA mortgage,FL,34
Debt collection,Auto,NV,15
Student loan,Non-federal student loan,DC,22
Mortgage,Other mortgage,CT,36
Mortgage,Other mortgage,,35
Debt collection,"Other (i.e. phone, health club, etc.)",NM,17
Mortgage,Other mortgage,DE,18
Money transfers,Domestic (US) money transfer,SC,25
Money transfers,Domestic (US) money transfer,DE,38
Mortgage,Other mortgage,ID,34
Bank account or service,Other bank product/service,NJ,18
Debt collection,I do not know,RI,43
Student loan,Non-federal student loan,GA,45
Mortgage,VA mortgage,MD,24
Mortgage,Other mortgage,IN,10
Debt collection,Non-federal student loan,NJ,29
Bank account or service,Savings account,CT,18
Credit reporting,,AZ,10
Debt collection,Credit card,NJ,23
Mortgage,Conventional fixed mortgage,,35
Debt collection,I do not know,OR,45
Mortgage,Other mortgage,LA,26
Debt collection,Federal student loan,VA,14
Bank account or service,Other bank product/service,MN,25
Debt collection,"Other (i.e. phone, health club, etc.)",NC,39
Bank account or service,Checking account,NE,21
Bank account or service,Savings account,WI,43
Bank account or service,Checking account,RI,36
Bank account or service,(CD) Certificate of deposit,IL,41
Debt collection,Credit card,GA,35
Debt collection,Credit card,IA,40
Consumer Loan,Vehicle loan,MD,65
Consumer Loan,Installment loan,FL,75
Bank account or service,Other bank product/service,AL,19
Mortgage,Home equity loan or line of credit,MT,20
Mortgage,VA mortgage,AL,42
Mortgage,FHA mortgage,OH,34
Credit reporting,,NH,28
Credit reporting,,AK,35
Mortgage,FHA mortgage,AZ,35
Mortgage,FHA mortgage,HI,11
Debt collection,I do not know,MD,17
Mortgage,Reverse mortgage,TX,23
Debt collection,Medical,NY,40
Debt collection,Medical,WA,42
Mortgage,Conventional adjustable mortgage (ARM),MI,22
Money transfers,Domestic (US) money transfer,NY,20
Debt collection,I do not know,GA,23
Bank account or service,Checking account,NH,23
Debt collection,"Other (i.e. phone, health club, etc.)",MS,31
Credit reporting,,ME,19
Debt collection,Federal student loan,,23
Mortgage,Conventional fixed mortgage,AL,22
Mortgage,Conventional fixed mortgage,NH,14
Mortgage,Conventional adjustable mortgage (ARM),IN,16
Consumer Loan,Personal line of credit,NC,51
Mortgage,Home equity loan or line of credit,OK,27
Bank account or service,Checking account,LA,33
Consumer Loan,Installment loan,OH,72
Credit card,,GA,74
Bank account or service,Checking account,WI,42
Debt collection,Credit card,OH,32
Bank account or service,Checking account,AL,41
Mortgage,VA mortgage,KY,21
Consumer Loan,Vehicle loan,FL,84
Debt collection,"Other (i.e. phone, health club, etc.)",CO,17
Credit reporting,,HI,32
Debt collection,I do not know,DE,25
Debt collection,Non-federal student loan,CT,41
Consumer Loan,Vehicle loan,DE,80
Credit card,,IN,51
Credit card,,OK,68
Debt collection,Non-federal student loan,TX,20
Debt collection,Mortgage,AZ,14
Debt collection,"Other (i.e. phone, health club, etc.)",NV,43
Mortgage,Conventional adjustable mortgage (ARM),WI,11
Mortgage,FHA mortgage,MI,22
Mortgage,FHA mortgage,OK,26
Consumer Loan,Vehicle loan,NC,83
Mortgage,Conventional adjustable mortgage (ARM),CT,38
Consumer Loan,Vehicle loan,AZ,74
Debt collection,I do not know,AR,29
Consumer Loan,Personal line of credit,CA,62
Mortgage,VA mortgage,WA,20
Consumer Loan,Personal line of credit,OR,59
Debt collection,Mortgage,IN,12
Debt collection,Non-federal student loan,CA,41
Consumer Loan,Vehicle loan,NJ,51
Mortgage,FHA mortgage,UT,24
Debt collection,I do not know,WA,33
Debt collection,I do not know,DC,26
Consumer Loan,Vehicle lease,AZ,52
Mortgage,VA mortgage,GA,35
Debt collection,"Other (i.e. phone, health club, etc.)",UT,41
Mortgage,Reverse mortgage,GA,27
Mortgage,FHA mortgage,SC,21
Debt collection,I do not know,VA,16
Debt collection,Credit card,WI,34
Debt collection,Non-federal student loan,FL,40
Consumer Loan,Vehicle loan,,84
Student loan,Non-federal student loan,NC,23
Debt collection,Non-federal student loan,,28
Credit card,,IA,50
Student loan,Non-federal student loan,MN,22
Money transfers,Domestic (US) money transfer,TX,39
Debt collection,"Other (i.e. phone, health club, etc.)",IA,18
Consumer Loan,Vehicle loan,GA,80
Debt collection,Credit card,MD,25
Consumer Loan,Vehicle lease,CO,66
Debt collection,Auto,NC,27
Mortgage,FHA mortgage,CA,33
Money transfers,Domestic (US) money transfer,FL,27
Mortgage,Reverse mortgage,MD,23
Credit reporting,,DC,36
Debt collection,Medical,KY,40
Mortgage,Conventional adjustable mortgage (ARM),DC,24
Mortgage,Other mortgage,IA,30
Debt collection,Non-federal student loan,MN,41
Consumer Loan,Vehicle loan,WV,62
Debt collection,"Other (i.e. phone, health club, etc.)",AZ,20
Debt collection,Auto,FL,24
Debt collection,Credit card,MA,19
Mortgage,Home equity loan or line of credit,AR,42
Mortgage,Second mortgage,TX,38
Bank account or service,Savings account,NC,39
Student loan,Non-federal student loan,UT,36
Bank account or service,Checking account,SC,37
Consumer Loan,Vehicle loan,MS,59
Bank account or service,(CD) Certificate of deposit,NH,25
Mortgage,FHA mortgage,PR,42
Consumer Loan,Vehicle loan,PA,54
Mortgage,Conventional fixed mortgage,ME,36
Student loan,Non-federal student loan,TX,34
Mortgage,FHA mortgage,WI,24
Debt collection,Medical,GA,39
Debt collection,Credit card,PR,15
Debt collection,Medical,UT,13
Debt collection,"Other (i.e. phone, health club, etc.)",IN,26
Student loan,Non-federal student loan,OK,10
Student loan,Non-federal student loan,VA,41
Student loan,Non-federal student loan,CT,18
Bank account or service,Savings account,NM,43
Mortgage,Home equity loan or line of credit,NC,17
Mortgage,Home equity loan or line of credit,MN,12
Debt collection,"Other (i.e. phone, health club, etc.)",SC,13
Mortgage,VA mortgage,AZ,14
Mortgage,Conventional fixed mortgage,ID,21
Student loan,Non-federal student loan,IA,21
Mortgage,VA mortgage,NE,14
Credit reporting,,OK,12
Money transfers,Domestic (US) money transfer,AZ,32
Debt collection,Medical,MO,25
Debt collection,"Other (i.e. phone, health club, etc.)",MA,32
Debt collection,I do not know,OK,43
Debt collection,Credit card,IN,42
Mortgage,Conventional fixed mortgage,AR,43
Bank account or service,Savings account,OR,38
Debt collection,Auto,WA,35
Mortgage,Home equity loan or line of credit,TX,37
Mortgage,Other mortgage,HI,13
Debt collection,"Other (i.e. phone, health club, etc.)",MI,43
Debt collection,Credit card,ID,23
Bank account or service,Savings account,SD,12
Debt collection,"Other (i.e. phone, health club, etc.)",,39
Debt collection,Credit card,AK,43
Mortgage,Home equity loan or line of credit,NJ,42
Mortgage,Conventional fixed mortgage,OR,18
Debt collection,Mortgage,ME,14
Credit card,,UT,56
Student loan,Non-federal student loan,MI,22
Bank account or service,Other bank product/service,TX,12
Consumer Loan,Vehicle loan,IN,79
Debt collection,Medical,WI,37
Mortgage,Second mortgage,FL,19
Credit card,,KY,53
Mortgage,Home equity loan or line of credit,CO,42
Mortgage,Conventional fixed mortgage,NV,29
Student loan,Non-federal student loan,ME,13
Debt collection,Auto,GA,19
Consumer Loan,Installment loan,MD,79
Debt collection,Federal student loan,OH,32
Debt collection,I do not know,MN,40
Mortgage,Home equity loan or line of credit,MA,11
Mortgage,FHA mortgage,LA,21
Mortgage,Conventional adjustable mortgage (ARM),OR,42
Bank account or service,Savings account,TX,27
Consumer Loan,Vehicle loan,KY,64
Debt collection,Mortgage,PA,14
Bank account or service,Other bank product/service,MA,21
Consumer Loan,Installment loan,NY,58
Credit reporting,,ID,19
Student loan,Non-federal student loan,MO,45
Debt collection,"Other (i.e. phone, health club, etc.)",MN,21
Mortgage,Conventional adjustable mortgage (ARM),LA,16
Consumer Loan,Vehicle loan,NV,63
Mortgage,Conventional adjustable mortgage (ARM),KS,14
Mortgage,Other mortgage,TN,23
Bank account or service,Checking account,IN,35
Mortgage,VA mortgage,AE,37
Mortgage,Home equity loan or line of credit,MD,16
Student loan,Non-federal student loan,ID,43
Debt collection,I do not know,PA,15
Bank account or service,Savings account,IL,10
Bank account or service,Other bank product/service,NV,45
Bank account or service,Savings account,MD,11
Bank account or service,Cashing a check without an account,AK,11
Mortgage,FHA mortgage,NH,33
Mortgage,FHA mortgage,CT,22
Bank account or service,Cashing a check without an account,CA,18
Money transfers,Domestic (US) money transfer,GA,40
Bank account or service,Cashing a check without an account,PA,36
Bank account or service,Savings account,RI,20
Consumer Loan,Vehicle loan,MI,73
Debt collection,I do not know,NM,15
Debt collection,Credit card,VA,24
Mortgage,FHA mortgage,MS,18
Consumer Loan,Vehicle lease,FL,54
Debt collection,Medical,CO,11
Bank account or service,Checking account,UT,16
Debt collection,Credit card,CO,17
Debt collection,"Other (i.e. phone, health club, etc.)",AR,42
Consumer Loan,Installment loan,TX,83
Mortgage,VA mortgage,OK,33
Credit card,,MS,59
Debt collection,I do not know,IN,42
Consumer Loan,Personal line of credit,MD,66
Money transfers,Domestic (US) money transfer,VA,44
Debt collection,Medical,DC,26
Debt collection,Credit card,MS,14
Credit reporting,,RI,11
Debt collection,I do not know,CT,10
Mortgage,VA mortgage,CA,18
Debt collection,I do not know,LA,14
Debt collection,Medical,IL,17
Debt collection,Medical,NC,20
Debt collection,Federal student loan,PA,14
Credit reporting,,UT,30
Bank account or service,Other bank product/service,MD,40
Mortgage,Home equity loan or line of credit,TN,25
Mortgage,Home equity loan or line of credit,AL,23
Money transfers,International money transfer,CA,40
Consumer Loan,Vehicle loan,MA,51
Bank account or service,Savings account,MI,14
Mortgage,Home equity loan or line of credit,VA,27
Mortgage,VA mortgage,VA,21
Mortgage,Reverse mortgage,NY,26
Debt collection,Medical,ND,38
Debt collection,I do not know,OH,10
Bank account or service,Other bank product/service,WY,20
Credit reporting,,WV,34
Debt collection,"Other (i.e. phone, health club, etc.)",TN,42
Consumer Loan,Vehicle lease,IL,72
Mortgage,Reverse mortgage,VA,45
Mortgage,Other mortgage,OK,22
Mortgage,Reverse mortgage,DC,38
Student loan,Non-federal student loan,VT,19
Debt collection,Medical,TX,14
Debt collection,"Other (i.e. phone, health club, etc.)",OK,31
Debt collection,I do not know,NJ,44
Debt collection,Medical,KS,45
Debt collection,Medical,OK,28
Debt collection,"Other (i.e. phone, health club, etc.)",MT,20
Debt collection,I do not know,AZ,40
Mortgage,Conventional fixed mortgage,MS,20
Student loan,Non-federal student loan,IN,26
Mortgage,Home equity loan or line of credit,,12
Mortgage,Second mortgage,AL,30
Bank account or service,Checking account,OK,10
Debt collection,"Other (i.e. phone, health club, etc.)",KY,33
Mortgage,Conventional adjustable mortgage (ARM),TX,42
Debt collection,"Other (i.e. phone, health club, etc.)",MH,33
Debt collection,Federal student loan,WA,24
Mortgage,Second mortgage,MI,34
Mortgage,VA mortgage,TX,31
Debt collection,Federal student loan,CA,17
Debt collection,I do not know,MO,33
Student loan,Non-federal student loan,OR,22
Consumer Loan,Personal line of credit,MN,66
Mortgage,Conventional adjustable mortgage (ARM),UT,28
Debt collection,Medical,MD,22
Debt collection,Non-federal student loan,OH,19
Debt collection,Auto,TX,20
Consumer Loan,Installment loan,CA,76
Credit reporting,,MS,15
Debt collection,Non-federal student loan,GA,38
Credit reporting,,WY,45
Mortgage,Conventional fixed mortgage,IA,20
Debt collection,I do not know,ME,12
Bank account or service,Other bank product/service,PA,25
Bank account or service,Other bank product/service,MO,23
Debt collection,Federal student loan,NJ,40
Consumer Loan,Vehicle loan,OH,73
Bank account or service,Checking account,OR,18
Debt collection,Auto,CA,13
Mortgage,VA mortgage,OR,39
Bank account or service,Other bank product/service,IN,13
Money transfers,Domestic (US) money transfer,PA,24
Bank account or service,(CD) Certificate of deposit,TN,39
Mortgage,Conventional adjustable mortgage (ARM),AL,27
Mortgage,Conventional adjustable mortgage (ARM),ME,28
Consumer Loan,Vehicle loan,WA,55
Bank account or service,Checking account,ID,20
Bank account or service,Savings account,LA,44
Debt collection,Non-federal student loan,MI,18
Mortgage,VA mortgage,PA,12
Debt collection,Medical,NJ,41
Bank account or service,Checking account,DC,37
Mortgage,Home equity loan or line of credit,IL,12
Bank account or service,Savings account,PA,19
Consumer Loan,Installment loan,WA,77
Mortgage,Other mortgage,MT,16
Consumer Loan,Vehicle loan,IA,67
Mortgage,Conventional fixed mortgage,NE,25
Bank account or service,Checking account,KS,35
Debt collection,"Other (i.e. phone, health club, etc.)",DE,13
Mortgage,VA mortgage,IN,37
Money transfers,International money transfer,FL,25
Debt collection,Medical,VA,24
Debt collection,"Other (i.e. phone, health club, etc.)",DC,36
Debt collection,Medical,OH,39
Mortgage,Conventional adjustable mortgage (ARM),MT,20
Mortgage,Home equity loan or line of credit,OH,15
Debt collection,Non-federal student loan,IN,28
Student loan,Non-federal student loan,TN,15
Bank account or service,Other bank product/service,CO,30
Debt collection,Medical,NV,37
Mortgage,Home equity loan or line of credit,WI,20
Bank account or service,Checking account,KY,37
Credit card,,,79
Bank account or service,Savings account,MA,29
Consumer Loan,Vehicle loan,KS,51
Mortgage,Other mortgage,PR,26
Debt collection,Non-federal student loan,MA,17
Consumer Loan,Vehicle lease,CA,53
Bank account or service,Other bank product/service,KY,23
Debt collection,Federal student loan,NE,13
Debt collection,Federal student loan,CO,34
Consumer Loan,Vehicle loan,SC,69
Mortgage,Reverse mortgage,WA,44
Consumer Loan,Installment loan,NJ,50
Mortgage,Home equity loan or line of credit,WA,39
Mortgage,FHA mortgage,IN,34
Debt collection,Credit card,OR,38
Debt collection,I do not know,SC,19
Mortgage,Second mortgage,CA,22
Bank account or service,(CD) Certificate of deposit,NC,18
Money transfers,International money transfer,NV,17
Mortgage,FHA mortgage,NV,15
Mortgage,Home equity loan or line of credit,IA,17
Debt collection,Non-federal student loan,NY,24
Consumer Loan,Vehicle loan,TN,65
Consumer Loan,Vehicle lease,IN,63
Debt collection,Non-federal student loan,PA,39
Debt collection,Auto,OH,11
Bank account or service,Savings account,AL,17
Debt collection,I do not know,MS,13
Mortgage,Other mortgage,VT,29
Debt collection,Medical,MS,25
Debt collection,Mortgage,WY,40
Debt collection,Medical,MA,36
Bank account or service,Other bank product/service,,40
Mortgage,FHA mortgage,AR,13
Debt collection,Credit card,CT,34
Debt collection,Credit card,TN,10
Debt collection,I do not know,ND,13
Debt collection,Non-federal student loan,AR,38
Debt collection,I do not know,NC,36
Debt collection,"Other (i.e. phone, health club, etc.)",AE,17
Debt collection,Auto,UT,28
Consumer Loan,Vehicle loan,AR,66
Mortgage,Second mortgage,NY,40
Debt collection,"Other (i.e. phone, health club, etc.)",HI,18
Debt collection,Credit card,UT,39
Debt collection,Medical,LA,25
Debt collection,I do not know,PR,22
Debt collection,Credit card,KY,10
Debt collection,Credit card,MI,21
Bank account or service,Cashing a check without an account,FL,27
Money transfers,Domestic (US) money transfer,OR,22
Debt collection,Auto,MA,34
Bank account or service,Checking account,PR,29
Consumer Loan,Personal line of credit,NY,83
Credit reporting,,AR,14
Debt collection,Non-federal student loan,IL,33
Credit card,,AP,81
Credit card,,NM,51
Mortgage,Conventional fixed mortgage,AK,27
Mortgage,Conventional adjustable mortgage (ARM),OK,16
Mortgage,FHA mortgage,DE,42
Credit reporting,,KY,20
Money transfers,International money transfer,VA,36
